Vernier Format 2
Bandlücke-Si.cmbl 09.09.2013 10:20:19 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	-42,416350211	0,135531	0,203907	-1114,12506574	-1,11208340796
0,5	-42,481553233	0,131868	0,205128	-1115,51205713	-1,11070067964
1	-42,416350211	0,133089	0,205128	-1114,12506574	-1,11208340796
1,5	-42,481553233	0,135531	0,203907	-1115,51205713	-1,11070067964
2	-42,416350211	0,13431	0,206349	-1114,12506574	-1,11208340796
2,5	-42,481553233	0,130647	0,203907	-1115,51205713	-1,11070067964
3	-42,416350211	0,131868	0,20757	-1114,12506574	-1,11208340796
3,5	-42,416350211	0,129426	0,199023	-1114,12506574	-1,11208340796
4	-42,416350211	0,130647	0,202686	-1114,12506574	-1,11208340796
4,5	-42,416350211	0,130647	0,205128	-1114,12506574	-1,11208340796
5	-42,416350211	0,133089	0,197802	-1114,12506574	-1,11208340796
5,5	-42,416350211	0,130647	0,203907	-1114,12506574	-1,11208340796
6	-42,416350211	0,130647	0,205128	-1114,12506574	-1,11208340796
6,5	-42,481553233	0,133089	0,203907	-1115,51205713	-1,11070067964
7	-42,416350211	0,130647	0,205128	-1114,12506574	-1,11208340796
7,5	-42,481553233	0,133089	0,205128	-1115,51205713	-1,11070067964
8	-42,416350211	0,130647	0,201465	-1114,12506574	-1,11208340796
8,5	-42,481553233	0,130647	0,206349	-1115,51205713	-1,11070067964
9	-42,416350211	0,133089	0,199023	-1114,12506574	-1,11208340796
9,5	-42,416350211	0,130647	0,197802	-1114,12506574	-1,11208340796
