Vernier Format 2
Bandlücke-Si.cmbl 09.09.2013 10:25:15 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	-75,827554476	0,00610501	0,013431	-1601,47325843	-0,773662621888
0,5	-75,63194541	0,00610501	0,013431	-1600,08324409	-0,774334713259
1	-75,174989805	0,00610501	0,01221	-1596,7634364	-0,775944621322
1,5	-74,848440244	0,00610501	0,010989	-1594,32879982	-0,777129535725
2	-74,522425134	0,00610501	0,00732601	-1591,84648689	-0,778341385433
2,5	-74,000266507	0,00610501	0,00976801	-1587,76337384	-0,780342978313
3	-73,739454419	0,00610501	0,00732601	-1585,67450195	-0,781370955059
3,5	-73,217295792	0,00610501	0,00976801	-1581,39378343	-0,783486069681
4	-72,890746231	0,00610501	0,010989	-1578,64991552	-0,784847855006
4,5	-72,564731121	0,00610501	0,00854701	-1575,85938539	-0,786237662756
5	-72,107775516	0,00610501	0,014652	-1571,86221546	-0,788237027273
5,5	-71,91216645	0,00610501	0,018315	-1570,12057147	-0,789111373047
6	-71,390007823	0,00610501	0,013431	-1565,38185689	-0,791500166266
6,5	-71,129195735	0,00610501	0,01221	-1562,96621248	-0,792723470353
7	-70,802646174	0,00610501	0,010989	-1559,89605366	-0,794283694154
7,5	-70,280487547	0,00610501	0,00976801	-1554,88156815	-0,796845255214
8	-70,019675459	0,00610501	0,00854701	-1552,32850455	-0,798155800378
8,5	-69,497516832	0,00610501	0,00732601	-1547,12053748	-0,800842578186
9	-69,171501722	0,00610501	0,00732601	-1543,80370365	-0,802563173716
9,5	-68,714546117	0,00610501	0,00732601	-1539,07059642	-0,805031298034
10	-68,388531007	0,00610501	0,00854701	-1535,63390562	-0,806832927733
10,5	-68,19238749	0,00610501	0,00854701	-1533,54229551	-0,807933373359
11	-67,605025841	0,00610501	0,00610501	-1527,17147224	-0,811303787769
11,5	-67,344213753	0,00610501	0,015873	-1524,291077	-0,812836877875
12	-66,756852104	0,00610501	0,015873	-1517,68871777	-0,816372939651
12,5	-66,62644606	0,00610501	0,010989	-1516,2012007	-0,817173868103
13	-66,039084411	0,00610501	0,00976801	-1509,40403222	-0,820853776428
13,5	-65,778272323	0,00610501	0,01221	-1506,3349186	-0,822526242138
14	-65,190910674	0,00610501	0,00610501	-1499,30892476	-0,826380727506
14,5	-64,994767157	0,00610501	0,00976801	-1496,92753417	-0,827695377175
15	-64,407405508	0,00610501	0,00732601	-1489,69152856	-0,831715812464
15,5	-64,211796442	0,00610501	0,00732601	-1487,24693366	-0,833082907727
16	-63,754840837	0,00610501	0,00732601	-1481,46870266	-0,836332213956
16,5	-63,363622705	0,00610501	0,018315	-1476,4468399	-0,839176844379
17	-63,037073144	0,00610501	0,00976801	-1472,20237615	-0,841596250675
17,5	-62,58065199	0,00610501	0,00854701	-1466,18975193	-0,845047510643
18	-62,188899407	0,00610501	0,00976801	-1460,95481804	-0,848075508363
18,5	-61,797146824	0,00610501	0,00732601	-1455,65158526	-0,851165218755
19	-61,471131714	0,00610501	0,00732601	-1451,18636283	-0,853784208379
19,5	-61,014176109	0,00610501	0,00732601	-1444,84868433	-0,857529244022
20	-60,557754955	0,00488401	0,010989	-1438,42667778	-0,86135777314
20,5	-60,231205394	0,00610501	0,00732601	-1433,77597133	-0,864151739727
21	-59,774249789	0,00610501	0,00854701	-1427,18987647	-0,868139566028
21,5	-59,448234679	0,00488401	0,01221	-1422,43551397	-0,871041244281
22	-59,056482096	0,00610501	0,010989	-1416,66157985	-0,874591375687
22,5	-58,86087303	0,00610501	0,010989	-1413,75374395	-0,876390252052
