Vernier Format 2
Bandlücke-Si.cmbl 09.09.2013 09:15:54 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	71,1954262356	0,101343	0,107448	1563,58270994	0,792410911252
0,5	70,9996568343	0,105006	0,0915751	1561,75438131	0,793338577964
1	70,7386309659	0,113553	0,236874	1559,28825119	0,794593301821
1,5	70,4123486304	0,117216	0,106227	1556,16008425	0,796190579965
2	70,2165792291	0,131868	0,262515	1554,25895407	0,797164460113
2,5	69,6292710252	0,136752	0,478632	1548,44678078	0,800156657227
3	69,3682451568	0,142857	0,267399	1545,81133202	0,801520841733
3,5	69,1072192884	0,156288	0,106227	1543,14380007	0,802906378489
4	68,5851675516	0,163614	0,367521	1537,71270871	0,805742186418
4,5	68,3241416832	0,175824	0,035409	1534,94926203	0,807192804772
5	67,8020899464	0,189255	0,0732601	1529,32685343	0,810160363838
5,5	67,4758076109	0,194139	0,003663	1525,7483443	0,812060524026
6	66,9537558741	0,208791	0,041514	1519,91986161	0,815174557092
6,5	66,6927300057	0,21978	0,217338	1516,95827113	0,81676604003
7	66,4317041373	0,225885	0,240537	1513,9651963	0,81838076795
7,5	65,9096524005	0,240537	0,457875	1507,88484274	0,821680784155
8	65,6486265321	0,249084	0,003663	1504,7976902	0,823366495088
8,5	65,3876006637	0,253968	0,003663	1501,67930571	0,825076296444
9	64,8655489269	0,275946	0,501832	1495,34910038	0,82856906102
9,5	64,6045230585	0,286935	0,229548	1492,13741093	0,830352480223
10	64,3434971901	0,296703	0,114774	1488,89475229	0,832160901969
10,5	63,8214454533	0,302808	0,00488401	1482,31679726	0,835853713785
11	63,5604195849	0,307692	0,018315	1478,98163741	0,837738595707
11,5	63,2341372494	0,327228	0,0989011	1474,76952931	0,840131271617
12	62,7120855126	0,336996	0,001221	1467,93073549	0,844045274102
12,5	62,4510596442	0,345543	0,035409	1464,46560276	0,846042404592
13	61,9290079074	0,352869	0,00488401	1457,44422524	0,850118295123
13,5	61,667982039	0,350427	0,101343	1453,88812619	0,852197619394
14	61,4069561706	0,357753	0,002442	1450,3018518	0,854304914847
14,5	60,8196479667	0,351648	0,450549	1442,12279241	0,859150140698
15	60,5586220983	0,35409	0,230769	1438,43896547	0,861350415098
15,5	60,0365703615	0,346764	0,159951	1430,98182461	0,865839089422
16	59,7755444931	0,344322	0,212454	1427,20866546	0,8681281371
16,5	59,5145186247	0,339438	0,001221	1423,40588471	0,87044743408
17	58,9924668879	0,338217	0,003663	1415,71177472	0,875178141573
17,5	58,7314410195	0,344322	0,001221	1411,82060517	0,877590251528
18	58,405158684	0,340659	0,199023	1406,91544649	0,880649937483
18,5	57,8831069472	0,357753	0,002442	1398,97235808	0,885650093687
19	57,6873375459	0,358974	0,002442	1395,96372143	0,887558882066
19,5	57,100029342	0,374847	0,001221	1386,8401686	0,893397832033
20	56,8390034736	0,383394	0,416361	1382,73842541	0,896047999561
20,5	56,5779776052	0,39072	0,001221	1378,60798359	0,898732645356
21	56,0559258684	0,398046	0,002442	1370,26134758	0,904207071294
21,5	55,729696978	0,417582	0,286935	1364,98775551	0,907700450061
22	55,207538351	0,443223	0,039072	1356,45487196	0,91341040945
22,5	54,946726263	0,462759	0,001221	1352,15056332	0,916318074043
23	54,685379724	0,481074	0,0525031	1347,80933043	0,919269493114
23,5	54,098018075	0,493284	0,225885	1337,95045848	0,926043256797
24	53,902409009	0,507937	0,125763	1334,6358964	0,928343080941
24,5	53,380250382	0,515263	0,159951	1325,71192818	0,934592179236
25	53,054235272	0,532357	0,00488401	1320,08427607	0,938576439749
