Vernier Format 2
Bandlücke-Si.cmbl 09.09.2013 10:06:14 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	73,6751719854	0,025641	0,020757	1585,1546083	0,781627226461
0,5	73,414146117	0,035409	0,021978	1583,02302907	0,782679706643
1	73,1531202486	0,034188	0,021978	1580,85859431	0,783751313658
1,5	72,6963249789	0,037851	0,013431	1576,99191041	0,785673022051
2	72,3047861763	0,037851	0,00854701	1573,5978205	0,787367638577
2,5	72,0437603079	0,043956	0,01221	1571,29425919	0,788521941547
3	71,5217085711	0,046398	0,010989	1566,58934879	0,790890095707
3,5	71,2606827027	0,0537241	0,014652	1564,18809735	0,792104224611
4	70,9996568343	0,0537241	0,014652	1561,75438131	0,793338577964
4,5	70,4776050975	0,0586081	0,01221	1556,78975815	0,795868545197
5	70,2165792291	0,0647131	0,017094	1554,25895407	0,797164460113
5,5	69,8902968936	0,0720391	0,014652	1551,05009165	0,798813659645
6	69,4335016239	0,0744811	0,017094	1546,47320416	0,801177800347
6,5	69,1724757555	0,0781441	0,015873	1543,81368784	0,802557983364
7	68,9114498871	0,0854701	0,014652	1541,12212979	0,803959644762
7,5	68,3893981503	0,0940171	0,014652	1535,64311262	0,806828090343
8	68,0631158148	0,0964591	0,013431	1532,1539576	0,808665469849
8,5	67,541064078	0,106227	0,015873	1526,4680082	0,811677672471
9	67,2800382096	0,114774	0,017094	1523,57748126	0,813217585087
9,5	66,9537558741	0,117216	0,014652	1519,91986161	0,815174557092
10	66,4969606044	0,129426	0,01221	1514,71641328	0,817974895588
10,5	66,235934736	0,135531	0,01221	1511,69976593	0,819607191803
11	65,7138829992	0,141636	0,015873	1505,57240885	0,822942817441
11,5	65,3876006637	0,144078	0,014652	1501,67930571	0,825076296444
12	65,1265747953	0,153846	0,014652	1498,52975398	0,826810409811
12,5	64,6045230585	0,159951	0,010989	1492,13741093	0,830352480223
13	64,3434971901	0,166056	0,010989	1488,89475229	0,832160901969
13,5	64,0824713217	0,178266	0,00854701	1485,62119175	0,83399456529
14	63,5604195849	0,18315	0,013431	1478,98163741	0,837738595707
14,5	63,2993937165	0,189255	0,01221	1475,61578141	0,839649464047
15	62,7773419797	0,194139	0,010989	1468,79226103	0,843550196219
15,5	62,4510596442	0,201465	0,00976801	1464,46560276	0,846042404592
16	62,1900337758	0,20757	0,010989	1460,97007516	0,848066651786
16,5	61,667982039	0,212454	0,00854701	1453,88812619	0,852197619394
17	61,4069561706	0,216117	0,00976801	1450,3018518	0,854304914847
17,5	60,8849044338	0,221001	0,00976801	1443,03907537	0,858604608251
18	60,6238785654	0,221001	0,00732601	1439,36272408	0,860797614996
18,5	60,362852697	0,21978	0,00976801	1435,65649892	0,863019810748
19	59,8408009602	0,216117	0,00976801	1428,15473534	0,867553052437
19,5	59,5797750918	0,216117	0,00732601	1424,35935262	0,869864755494
20	58,9924668879	0,216117	0,00732601	1415,71177472	0,875178141573
20,5	58,7314410195	0,214896	0,00732601	1411,82060517	0,877590251528
21	58,4704151511	0,214896	0,00732601	1407,90013339	0,880034009953
21,5	57,9483634143	0,21978	0,00854701	1399,97160925	0,885017947377
22	57,6873375459	0,228327	0,00976801	1395,96372143	0,887558882066
22,5	57,100029342	0,235653	0,014652	1386,8401686	0,893397832033
23	56,8390034736	0,245421	0,013431	1382,73842541	0,896047999561
23,5	56,5779776052	0,253968	0,014652	1378,60798359	0,898732645356
24	56,0559258684	0,25641	0,017094	1370,26134758	0,904207071294
24,5	55,7949	0,263736	0,019536	1366,04532662	0,906997722447
