Vernier Format 2
Bandlücke-Si.cmbl 09.09.2013 10:14:35 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	72,6310685118	0,00732601	0,015873	1576,43133862	0,785952403789
0,5	72,3700426434	0,00610501	0,01221	1574,16860958	0,787082141305
1	72,0437603079	0,00732601	0,014652	1571,29425919	0,788521941547
1,5	71,7827344395	0,00732601	0,018315	1568,95808579	0,78969604811
2	71,2606827027	0,00610501	0,013431	1564,18809735	0,792104224611
2,5	70,9996568343	0,00732601	0,015873	1561,75438131	0,793338577964
3	70,7386309659	0,00732601	0,010989	1559,28825119	0,794593301821
3,5	70,2165792291	0,00854701	0,017094	1554,25895407	0,797164460113
4	69,9555533607	0,00732601	0,013431	1551,69589147	0,798481201639
4,5	69,4335016239	0,00976801	0,023199	1546,47320416	0,801177800347
5	69,1724757555	0,010989	0,00854701	1543,81368784	0,802557983364
5,5	68,6504240187	0,00976801	0,013431	1538,39858587	0,805382955612
6	68,3893981503	0,013431	0,015873	1535,64311262	0,806828090343
6,5	67,8020899464	0,010989	0,015873	1529,32685343	0,810160363838
7	67,541064078	0,015873	0,015873	1526,4680082	0,811677672471
7,5	67,0190123412	0,015873	0,015873	1520,65533258	0,814780294691
8	66,7579864728	0,020757	0,017094	1517,70162282	0,816365998015
8,5	66,4969606044	0,017094	0,020757	1514,71641328	0,817974895588
9	65,9749088676	0,019536	0,00976801	1508,65174336	0,82126309498
9,5	65,7138829992	0,028083	0,017094	1505,57240885	0,822942817441
10	65,1265747953	0,02442	0,01221	1498,52975398	0,826810409811
10,5	64,8655489269	0,025641	0,020757	1495,34910038	0,82856906102
11	64,4087536572	0,026862	0,014652	1489,70831664	0,831706439549
11,5	64,0824713217	0,031746	0,020757	1485,62119175	0,83399456529
12	63,8214454533	0,030525	0,017094	1482,31679726	0,835853713785
12,5	63,2993937165	0,035409	0,017094	1475,61578141	0,839649464047
13	63,0383678481	0,03663	0,017094	1472,21929912	0,841586576634
13,5	62,5163161113	0,037851	0,015873	1465,33473828	0,845540590578
14	62,2552902429	0,040293	0,020757	1461,84680262	0,847558032605
14,5	61,667982039	0,03663	0,01221	1453,88812619	0,852197619394
15	61,4722126377	0,042735	0,017094	1451,20124527	0,853775452604
15,5	60,8849044338	0,043956	0,01221	1443,03907537	0,858604608251
16	60,6238785654	0,046398	0,015873	1439,36272408	0,860797614996
16,5	60,1018268286	0,043956	0,015873	1431,92047683	0,865271514757
17	59,8408009602	0,0500611	0,00976801	1428,15473534	0,867553052437
17,5	59,5797750918	0,0549451	0,01221	1424,35935262	0,869864755494
18	58,9924668879	0,0537241	0,010989	1415,71177472	0,875178141573
18,5	58,7314410195	0,0622711	0,010989	1411,82060517	0,877590251528
19	58,2093892827	0,0610501	0,00976801	1403,95044076	0,882509783844
19,5	57,9483634143	0,0647131	0,014652	1399,97160925	0,885017947377
20	57,4263116775	0,0610501	0,013431	1391,9268605	0,890132976923
20,5	57,1652858091	0,0622711	0,01221	1387,86111024	0,892740628623
21	56,5779776052	0,0695971	0,026862	1378,60798359	0,898732645356
21,5	56,3169517368	0,0695971	0,00610501	1374,44892887	0,901452192201
22	55,7949	0,0720391	0,014652	1366,04532662	0,906997722447
22,5	55,534087912	0,0744811	0,00976801	1361,80444121	0,909822264125
23	55,011929285	0,0805861	0,00976801	1353,22927065	0,915587644218
23,5	54,750582746	0,0879121	0,014652	1348,89504813	0,918529578498
24	54,163221097	0,0879121	0,00976801	1339,05184895	0,925281572159
24,5	53,902409009	0,0952381	0,018315	1334,6358964	0,928343080941
