Vernier Format 2
gelampe.cmbl 08.09.2013 16:33:14 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	-74,130672551	0,010989	0,023199	-3179,49826747	-0,389684124906
0,5	-73,674251397	0,00732601	0,021978	-3172,19723458	-0,390581010062
1	-73,347701836	0,023199	0,020757	-3166,85010304	-0,391240494399
1,5	-72,890746231	0,023199	0,018315	-3159,19496899	-0,392188520228
2	-72,564731121	0,030525	0,020757	-3153,61055875	-0,392883007244
2,5	-72,107775516	0,02442	0,017094	-3145,61142038	-0,393882089813
3	-71,716557384	0,035409	0,015873	-3138,60403961	-0,394761487707
3,5	-71,259601779	0,046398	0,017094	-3130,233937	-0,395817061899
4	-70,933052218	0,017094	0,017094	-3124,13048328	-0,396590349421
4,5	-70,476631064	0,023199	0,01221	-3115,42963268	-0,39769795697
5	-70,215284525	0,02442	0,010989	-3110,3584833	-0,398346366392
5,5	-69,758863371	0,00732601	0,00732601	-3101,34698661	-0,399503830223
6	-69,367110788	0,00732601	0,00854701	-3093,45531966	-0,400522998385
6,5	-69,1062987	0,00732601	0,01221	-3088,12117317	-0,401214826272
7	-68,584140073	0,00488401	0,00854701	-3077,24976758	-0,402632250736
7,5	-68,322793534	0,00610501	0,013431	-3071,71247216	-0,403358065323
8	-67,801169358	0,00610501	0,018315	-3060,46956769	-0,404839836697
8,5	-67,279010731	0,03663	0,020757	-3048,9610923	-0,406367927465
9	-66,95246117	0,0512821	0,017094	-3041,63511561	-0,40734669114
9,5	-66,430836994	0,01221	0,013431	-3029,72787469	-0,408947618811
10	-66,169490455	0,034188	0,014652	-3023,66756651	-0,409767268638
10,5	-65,647331828	0,043956	0,00732601	-3011,37106104	-0,411440495006
11	-65,38651974	0,0622711	0,00732601	-3005,13537558	-0,41229423808
11,5	-64,929564135	0,042735	0,00732601	-2994,06010424	-0,41381934793
12	-64,603549025	0,0573871	0,00976801	-2986,04200351	-0,414930532974
12,5	-64,081390398	0,015873	0,00854701	-2972,99858564	-0,416750955074
13	-63,754840837	0,00610501	0,00976801	-2964,71587915	-0,417915257484
13,5	-63,298419683	0,010989	0,014652	-2952,97776061	-0,419576475153
14	-62,971870122	0,047619	0,010989	-2944,46460698	-0,420789571409
14,5	-62,515448968	0,0512821	0,01221	-2932,4054944	-0,422520010403
15	-62,188899407	0,0781441	0,02442	-2923,66348339	-0,423783382403
15,5	-61,66674078	0,00854701	0,017094	-2909,48763088	-0,425848175758
16	-61,34072567	0,00732601	0,015873	-2900,51418077	-0,427165641256
16,5	-60,883770065	0,02442	0,013431	-2887,7786475	-0,429049505256
17	-60,622957977	0,018315	0,00854701	-2880,42732157	-0,430144510408
17,5	-60,10079935	0,00854701	0,00732601	-2865,53039828	-0,432380686222
18	-59,513437701	0,00732601	0,00732601	-2848,48890297	-0,434967465981
18,5	-59,317828635	0,00610501	0,010989	-2842,74703787	-0,435846026219
19	-58,730466986	0,00488401	0,01221	-2825,30690539	-0,438536428603
19,5	-58,469120447	0,00610501	0,018315	-2817,45136222	-0,439759144244
20	-57,947496271	0,00854701	0,015873	-2801,59730799	-0,442247712213
20,5	-57,686149732	0,00976801	0,017094	-2793,56663885	-0,443519042206
21	-57,098788083	0,013431	0,015873	-2775,30631398	-0,446437207223
21,5	-56,903179017	0,026862	0,019536	-2769,16024285	-0,447428061702
22	-56,315817368	0,039072	0,018315	-2750,51156113	-0,450461658664
22,5	-56,120208302	0,0500611	0,013431	-2744,23673188	-0,451491660907
23	-55,532846653	0,0647131	0,015873	-2725,20317579	-0,454645000787
