Vernier Format 2
genormal.cmbl 08.09.2013 16:32:53 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	-77,393495906	0,00732601	0,014652	-3225,78869946	-0,384092113723
0,5	-77,132683818	0,017094	0,00732601	-3222,47130255	-0,38448752019
1	-76,545322169	0,00610501	0,01221	-3214,755955	-0,385410282256
1,5	-76,349713103	0,032967	0,00732601	-3212,11148154	-0,385727583591
2	-76,023163542	0,00610501	0,00732601	-3207,61339668	-0,386268495225
2,5	-75,566742388	0,00854701	0,010989	-3201,15182855	-0,387048183391
3	-75,174989805	0,019536	0,00732601	-3195,44375568	-0,387739573822
3,5	-74,7180342	0,01221	0,010989	-3188,59690444	-0,388572164225
4	-74,39201909	0,010989	0,00976801	-3183,58802372	-0,389183522105
4,5	-73,869860463	0,00610501	0,00732601	-3175,35092499	-0,390193093384
5	-73,609048375	0,00610501	0,014652	-3171,13778625	-0,39071149963
5,5	-73,15209277	0,00610501	0,013431	-3163,59779826	-0,391642705239
6	-72,695137165	0,00732601	0,00976801	-3155,85658537	-0,392603391974
6,5	-72,303919033	0,00610501	0,018315	-3149,06950785	-0,393449556102
7	-71,781760406	0,029304	0,00732601	-3139,78210698	-0,39461337054
7,5	-71,520413867	0,00610501	0,00732601	-3135,03568255	-0,395210812718
8	-70,933052218	0,00732601	0,014652	-3124,13048328	-0,396590349421
8,5	-70,737443152	0,00854701	0,00732601	-3120,42579091	-0,3970611971
9	-70,150081503	0,00488401	0,00732601	-3109,08319767	-0,398509760346
9,5	-69,954472437	0,00732601	0,014652	-3105,23318872	-0,399003850822
10	-69,367110788	0,014652	0,00610501	-3093,45531966	-0,400522998385
10,5	-69,1062987	0,00488401	0,00854701	-3088,12117317	-0,401214826272
11	-68,584140073	0,00610501	0,01221	-3077,24976758	-0,402632250736
11,5	-68,322793534	0,00732601	0,00732601	-3071,71247216	-0,403358065323
12	-67,735966336	0,00610501	0,00854701	-3059,04634969	-0,405028187992
12,5	-67,539822819	0,010989	0,01221	-3054,74115374	-0,405599014005
13	-66,95246117	0,00976801	0,00732601	-3041,63511561	-0,40734669114
13,5	-66,691649082	0,00732601	0,00976801	-3035,71294656	-0,408141356515
14	-66,169490455	0,00610501	0,015873	-3023,66756651	-0,409767268638
14,5	-65,71253485	0,00732601	0,00854701	-3012,92023767	-0,411228941447
15	-65,38651974	0,00488401	0,00610501	-3005,13537558	-0,41229423808
15,5	-64,864361113	0,00610501	0,01221	-2992,46423079	-0,41404003672
16	-64,603549025	0,00976801	0,010989	-2986,04200351	-0,414930532974
16,5	-64,081390398	0,014652	0,00732601	-2972,99858564	-0,416750955074
17	-63,82057831	0,00488401	0,00854701	-2966,39101584	-0,417679258528
17,5	-63,298419683	0,014652	0,010989	-2952,97776061	-0,419576475153
18	-62,971870122	0,00976801	0,00732601	-2944,46460698	-0,420789571409
18,5	-62,776261056	0,00610501	0,00854701	-2939,31925097	-0,421526174671
19	-62,188899407	0,00610501	0,014652	-2923,66348339	-0,423783382403
19,5	-61,66674078	0,00610501	0,00854701	-2909,48763088	-0,425848175758
20	-61,405928692	0,014652	0,00732601	-2902,3163928	-0,426900390004
20,5	-60,948973087	0,00854701	0,010989	-2889,6071353	-0,428778010984
21	-60,557754955	0,00610501	0,01221	-2878,5801583	-0,430420530909
21,5	-60,10079935	0,00732601	0,00732601	-2865,53039828	-0,432380686222
22	-59,513437701	0,00610501	0,00854701	-2848,48890297	-0,434967465981
22,5	-59,317828635	0,00854701	0,00976801	-2842,74703787	-0,435846026219
