[s],CH1[V]
6.03640E-02,1.648E-02
6.03680E-02,2.448E-02
6.03720E-02,8.485E-03
6.03760E-02,2.448E-02
6.03800E-02,1.648E-02
6.03840E-02,1.648E-02
6.03880E-02,8.485E-03
6.03920E-02,8.485E-03
6.03960E-02,8.485E-03
6.04000E-02,8.485E-03
6.04040E-02,1.648E-02
6.04080E-02,4.845E-04
6.04120E-02,8.485E-03
6.04160E-02,8.485E-03
6.04200E-02,8.485E-03
6.04240E-02,8.485E-03
6.04280E-02,8.485E-03
6.04320E-02,8.485E-03
6.04360E-02,8.485E-03
6.04400E-02,8.485E-03
6.04440E-02,8.485E-03
6.04480E-02,8.485E-03
6.04520E-02,8.485E-03
6.04560E-02,1.648E-02
6.04600E-02,8.485E-03
6.04640E-02,8.485E-03
6.04680E-02,1.648E-02
6.04720E-02,1.648E-02
6.04760E-02,8.485E-03
6.04800E-02,8.485E-03
6.04840E-02,8.485E-03
6.04880E-02,8.485E-03
6.04920E-02,8.485E-03
6.04960E-02,-7.515E-03
6.05000E-02,4.845E-04
6.05040E-02,8.485E-03
6.05080E-02,8.485E-03
6.05120E-02,1.648E-02
6.05160E-02,8.485E-03
6.05200E-02,1.648E-02
6.05240E-02,8.485E-03
6.05280E-02,1.648E-02
6.05320E-02,1.648E-02
6.05360E-02,1.648E-02
6.05400E-02,1.648E-02
6.05440E-02,8.485E-03
6.05480E-02,1.648E-02
6.05520E-02,1.648E-02
6.05560E-02,1.648E-02
6.05600E-02,1.648E-02
6.05640E-02,1.648E-02
6.05680E-02,8.485E-03
6.05720E-02,8.485E-03
6.05760E-02,1.648E-02
6.05800E-02,8.485E-03
6.05840E-02,2.448E-02
6.05880E-02,8.485E-03
6.05920E-02,1.648E-02
6.05960E-02,2.448E-02
6.06000E-02,1.648E-02
6.06040E-02,1.648E-02
6.06080E-02,4.845E-04
6.06120E-02,1.648E-02
6.06160E-02,1.648E-02
6.06200E-02,8.485E-03
6.06240E-02,2.448E-02
6.06280E-02,1.648E-02
6.06320E-02,1.648E-02
6.06360E-02,1.648E-02
6.06400E-02,8.485E-03
6.06440E-02,2.448E-02
6.06480E-02,1.648E-02
6.06520E-02,8.485E-03
6.06560E-02,1.648E-02
6.06600E-02,8.485E-03
6.06640E-02,4.845E-04
6.06680E-02,1.648E-02
6.06720E-02,2.448E-02
6.06760E-02,2.448E-02
6.06800E-02,1.648E-02
6.06840E-02,1.648E-02
6.06880E-02,8.485E-03
6.06920E-02,2.448E-02
6.06960E-02,1.648E-02
6.07000E-02,3.248E-02
6.07040E-02,4.048E-02
6.07080E-02,1.648E-02
6.07120E-02,8.485E-03
6.07160E-02,2.448E-02
6.07200E-02,1.648E-02
6.07240E-02,1.648E-02
6.07280E-02,1.648E-02
6.07320E-02,8.485E-03
6.07360E-02,4.845E-04
6.07400E-02,4.845E-04
6.07440E-02,8.485E-03
6.07480E-02,4.845E-04
6.07520E-02,4.845E-04
6.07560E-02,4.845E-04
6.07600E-02,4.845E-04
6.07640E-02,1.648E-02
6.07680E-02,8.485E-03
