Time,CH A,
0.E+0,-3.212E-2,
2.50125E-8,7.88E-3,
5.0025E-8,-3.212E-2,
7.50375E-8,2.788E-2,
1.0005E-7,-3.212E-2,
1.25063E-7,7.88E-3,
1.50075E-7,-3.212E-2,
1.75088E-7,7.88E-3,
2.001E-7,-3.212E-2,
2.25113E-7,7.88E-3,
2.50125E-7,-3.212E-2,
2.75138E-7,7.88E-3,
3.0015E-7,-3.212E-2,
3.25163E-7,2.788E-2,
3.50175E-7,-3.212E-2,
3.75188E-7,2.788E-2,
4.002E-7,-3.212E-2,
4.25213E-7,7.88E-3,
4.50225E-7,-3.212E-2,
4.75238E-7,7.88E-3,
5.0025E-7,-1.212E-2,
5.25263E-7,2.788E-2,
5.50275E-7,-3.212E-2,
5.75288E-7,7.88E-3,
6.003E-7,-3.212E-2,
6.25313E-7,7.88E-3,
6.50325E-7,-3.212E-2,
6.75338E-7,2.788E-2,
7.0035E-7,-3.212E-2,
7.25363E-7,7.88E-3,
7.50375E-7,-3.212E-2,
7.75388E-7,2.788E-2,
8.004E-7,-3.212E-2,
8.25413E-7,2.788E-2,
8.50425E-7,-3.212E-2,
8.75438E-7,2.788E-2,
9.0045E-7,-1.212E-2,
9.25463E-7,2.788E-2,
9.50475E-7,-3.212E-2,
9.75488E-7,2.788E-2,
1.0005E-6,-3.212E-2,
1.02551E-6,7.88E-3,
1.05053E-6,-3.212E-2,
1.07554E-6,7.88E-3,
1.10055E-6,-3.212E-2,
1.12556E-6,2.788E-2,
1.15058E-6,-3.212E-2,
1.17559E-6,7.88E-3,
1.2006E-6,-3.212E-2,
1.22561E-6,7.88E-3,
1.25063E-6,-3.212E-2,
1.27564E-6,7.88E-3,
1.30065E-6,-3.212E-2,
1.32566E-6,2.788E-2,
1.35068E-6,-3.212E-2,
1.37569E-6,2.788E-2,
1.4007E-6,-3.212E-2,
1.42571E-6,2.788E-2,
1.45073E-6,-3.212E-2,
1.47574E-6,2.788E-2,
1.50075E-6,-1.212E-2,
1.52576E-6,7.88E-3,
1.55078E-6,-3.212E-2,
1.57579E-6,7.88E-3,
1.6008E-6,-3.212E-2,
1.62581E-6,2.788E-2,
1.65083E-6,-3.212E-2,
1.67584E-6,7.88E-3,
1.70085E-6,-1.212E-2,
1.72586E-6,2.788E-2,
1.75088E-6,-3.212E-2,
1.77589E-6,2.788E-2,
1.8009E-6,-3.212E-2,
1.82591E-6,2.788E-2,
1.85093E-6,-3.212E-2,
1.87594E-6,7.88E-3,
1.90095E-6,-3.212E-2,
1.92596E-6,7.88E-3,
1.95098E-6,-3.212E-2,
1.97599E-6,2.788E-2,
2.001E-6,-3.212E-2,
2.02601E-6,7.88E-3,
2.05103E-6,-3.212E-2,
2.07604E-6,2.788E-2,
2.10105E-6,-3.212E-2,
2.12606E-6,7.88E-3,
2.15108E-6,-3.212E-2,
2.17609E-6,7.88E-3,
2.2011E-6,-3.212E-2,
2.22611E-6,7.88E-3,
2.25113E-6,-3.212E-2,
2.27614E-6,7.88E-3,
2.30115E-6,-3.212E-2,
2.32616E-6,2.788E-2,
2.35118E-6,-1.212E-2,
2.37619E-6,7.88E-3,
2.4012E-6,-3.212E-2,
2.42621E-6,2.788E-2,
2.45123E-6,-1.212E-2,
2.47624E-6,2.788E-2,
2.50125E-6,-3.212E-2,
2.52626E-6,7.88E-3,
2.55128E-6,-3.212E-2,
2.57629E-6,2.788E-2,
2.6013E-6,-3.212E-2,
2.62631E-6,7.88E-3,
2.65133E-6,-3.212E-2,
2.67634E-6,7.88E-3,
2.70135E-6,-3.212E-2,
2.72636E-6,7.88E-3,
2.75138E-6,-3.212E-2,
2.77639E-6,7.88E-3,
2.8014E-6,-3.212E-2,
2.82641E-6,7.88E-3,
2.85143E-6,-3.212E-2,
2.87644E-6,2.788E-2,
2.90145E-6,-3.212E-2,
2.92646E-6,2.788E-2,
2.95148E-6,-3.212E-2,
2.97649E-6,2.788E-2,
3.0015E-6,-3.212E-2,
3.02651E-6,7.88E-3,
3.05153E-6,-3.212E-2,
3.07654E-6,7.88E-3,
3.10155E-6,-3.212E-2,
3.12656E-6,7.88E-3,
3.15158E-6,-3.212E-2,
3.17659E-6,2.788E-2,
3.2016E-6,-3.212E-2,
3.22661E-6,2.788E-2,
3.25163E-6,-3.212E-2,
3.27664E-6,2.788E-2,
3.30165E-6,-3.212E-2,
3.32666E-6,2.788E-2,
3.35168E-6,-3.212E-2,
3.37669E-6,7.88E-3,
3.4017E-6,-3.212E-2,
3.42671E-6,7.88E-3,
3.45173E-6,-3.212E-2,
3.47674E-6,2.788E-2,
3.50175E-6,-3.212E-2,
3.52676E-6,7.88E-3,
3.55178E-6,-3.212E-2,
3.57679E-6,7.88E-3,
3.6018E-6,-3.212E-2,
3.62681E-6,4.788E-2,
3.65183E-6,-3.212E-2,
