Vernier Format 2
lampe_vor_neueinstellung.cmbl 21.10.2014 11:15:41 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	-21,338137222	0,00610501	0,029304	-601,023382652	-2,06148385531
0,5	-21,860295849	0,00610501	0,034188	-615,019345968	-2,01457077428
1	-22,121642388	0,00610501	0,032967	-622,005381954	-1,99194417918
1,5	-22,708469586	0,00610501	0,030525	-637,644445744	-1,9430891436
2	-22,904613103	0,00610501	0,028083	-642,85687636	-1,92733413231
2,5	-23,491974752	0,00610501	0,035409	-658,420460656	-1,88177627221
3	-23,75278684	0,00610501	0,031746	-665,309228266	-1,86229191985
3,5	-24,274945467	0,00610501	0,041514	-679,059308672	-1,82458289604
4	-24,470554533	0,00610501	0,040293	-684,195851111	-1,81088499439
4,5	-25,057916182	0,00732601	0,0659341	-699,571348669	-1,77108453964
5	-25,31872827	0,00610501	0,107448	-706,375210567	-1,75402531327
5,5	-25,840886897	0,00610501	0,185592	-719,952750212	-1,72094626993
6	-26,102233436	0,00610501	0,260073	-726,726085415	-1,7049064632
6,5	-26,623857612	0,00610501	0,310134	-740,199707265	-1,67387258849
7	-26,885204151	0,00610501	0,344322	-746,927323555	-1,65879592422
7,5	-27,4725658	0,00610501	0,35409	-761,990340079	-1,62600486493
8	-27,668174866	0,00610501	0,371184	-766,989079953	-1,61540761451
8,5	-28,255536515	0,00610501	0,376068	-781,945000579	-1,58451041836
9	-28,777695142	0,00610501	0,396825	-795,171715223	-1,55815401413
9,5	-29,103710252	0,00610501	0,410256	-803,396530859	-1,54220232775
10	-29,560665857	0,00610501	0,423687	-814,880916483	-1,5204675615
10,5	-29,821477945	0,00610501	0,448107	-821,412559598	-1,50837722838
11	-30,343636572	0,00610501	0,461538	-834,437946298	-1,48483180265
11,5	-30,670186133	0,00610501	0,489621	-842,548658162	-1,47053821521
12	-31,126607287	0,00610501	0,5116	-853,839152576	-1,45109297959
12,5	-31,453156848	0,00610501	0,549451	-861,883803616	-1,43754876794
13	-31,975315475	0,00610501	0,587302	-874,689062815	-1,41650336408
13,5	-32,496939651	0,00610501	0,626374	-887,408681385	-1,39619999893
14	-32,75828619	0,00610501	0,683761	-893,753931597	-1,38628760803
14,5	-33,345647839	0,00610501	0,735043	-907,946466146	-1,36461790006
15	-33,541256905	0,00610501	0,794872	-912,651900132	-1,35758222803
15,5	-34,128618554	0,00610501	0,85348	-926,716912614	-1,33697786577
16	-34,389430642	0,00610501	0,923077	-932,931205292	-1,32807220186
16,5	-34,911589269	0,00610501	1,00611	-945,314303304	-1,31067518567
17	-35,303341852	0,00610501	1,07937	-954,553303197	-1,29798932742
17,5	-35,694559984	0,00610501	1,16239	-963,735165327	-1,28562290199
18	-36,021109545	0,00732601	1,23687	-971,364874245	-1,27552481344
18,5	-36,47806515	0,00732601	1,31502	-981,988447636	-1,26172563739
19	-36,999689326	0,00610501	1,37363	-994,03908994	-1,24642985627
19,5	-37,261035865	0,00610501	1,41636	-1000,04583983	-1,23894320705
20	-37,783194492	0,00732601	1,44567	-1011,98461742	-1,22432691038
20,5	-38,109209602	0,01221	1,43346	-1019,39615822	-1,21542541632
21	-38,631368229	0,03663	1,39805	-1031,19791086	-1,2015152348
21,5	-38,892180317	0,0781441	1,32234	-1037,06073555	-1,19472269804
22	-39,414338944	0,120879	1,21978	-1048,73370066	-1,18142479756
22,5	-40,001700593	0,167277	1,09402	-1061,7601505	-1,16693021434
23	-40,197309659	0,214896	0,970696	-1066,07364918	-1,16220863441
23,5	-40,719468286	0,249084	0,868132	-1077,52710607	-1,14985506446
