Vernier Format 2
Bandlücke-Si_try.txt 20.10.2014 17:58:13 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	-5,220163964	0,113553	0,140415	-150,280998728	-8,24455526973
0,5	-5,546179074	0,108669	0,140415	-159,638037066	-7,76130816173
1	-6,068337701	0,0793651	0,120879	-174,613742995	-7,09566142247
1,5	-6,460090284	0,0879121	0,108669	-185,83990071	-6,66702896023
2	-6,851308416	0,0879121	0,130647	-197,042073157	-6,2879971782
2,5	-7,438670065	0,0683761	0,102564	-213,843221775	-5,79396433385
3	-7,634279131	0,0683761	0,117216	-219,433607543	-5,64635478528
3,5	-8,22164078	0,0647131	0,108669	-236,2044077	-5,24545672989
4	-8,482987319	0,042735	0,0976801	-243,658699544	-5,08498158415
4,5	-9,004611495	0,0598291	0,105006	-258,521484646	-4,79263842113
5	-9,265958034	0,039072	0,0891331	-265,960125301	-4,6585930827
5,5	-9,788116661	0,0610501	0,102564	-280,805468216	-4,41230723844
6	-10,048928749	0,035409	0,0891331	-288,211885474	-4,29892055965
6,5	-10,636290398	0,037851	0,0891331	-304,869398182	-4,06403531279
7	-10,831899464	0,040293	0,0952381	-310,409824754	-3,99149737281
7,5	-11,419261113	0,026862	0,0854701	-327,024240819	-3,78870996504
8	-11,680607652	0,037851	0,0915751	-334,405880402	-3,70507838711
8,5	-12,26743485	0,028083	0,0842491	-350,955021919	-3,5303669206
9	-12,724390455	0,015873	0,0720391	-363,816241972	-3,40556538456
9,5	-12,985736994	0,031746	0,102564	-371,161607434	-3,33816853679
10	-13,572564192	0,010989	0,0683761	-387,626513846	-3,1963757786
10,5	-13,833910731	0,014652	0,0830281	-394,946261134	-3,13713566105
11	-14,356069358	0,025641	0,0879121	-409,546025646	-3,02530099772
11,5	-14,616881446	0,00854701	0,0830281	-416,825773924	-2,97246494221
12	-15,073837051	0,014652	0,0732601	-429,559337193	-2,88435122397
12,5	-15,399852161	0,018315	0,0879121	-438,627448373	-2,82472062475
13	-15,922010788	0,00854701	0,0854701	-453,121582128	-2,73436545261
13,5	-16,248560349	0,00854701	0,0573871	-462,166928376	-2,68084954575
14	-16,770184525	0,019536	0,0940171	-476,58453119	-2,59974866768
14,5	-17,292343152	0,013431	0,0732601	-490,977344091	-2,52353803065
15	-17,553689691	0,00610501	0,0695971	-498,165878618	-2,48712337231
15,5	-18,140516889	0,014652	0,0793651	-514,269014037	-2,40924490137
16	-18,336660406	0,00732601	0,0781441	-519,639446114	-2,38434554818
16,5	-18,924022055	0,00854701	0,0683761	-535,684802927	-2,31292729088
17	-19,119631121	0,00854701	0,0622711	-541,015975768	-2,2901356993
17,5	-19,70699277	0,00854701	0,0952381	-556,985916107	-2,22447276344
18	-20,229151397	0,00732601	0,0561661	-571,13393757	-2,1693685465
18,5	-20,489963485	0,00732601	0,0708181	-578,18301734	-2,14292008385
19	-21,012122112	0,014652	0,0805861	-592,259472469	-2,09198849085
19,5	-21,2729342	0,00854701	0,0769231	-599,272148264	-2,06750806556
20	-21,795092827	0,00854701	0,0647131	-613,274408411	-2,02030279269
20,5	-22,055904915	0,00732601	0,0793651	-620,249370679	-1,99758364711
21	-22,578063542	0,00976801	0,0695971	-634,174821053	-1,95371995051
21,5	-22,904613103	0,00854701	0,0683761	-642,85687636	-1,92733413231
22	-23,42677173	0,00854701	0,102564	-656,696131439	-1,88671737305
22,5	-23,687583818	0,00610501	0,119658	-663,588323214	-1,86712146169
23	-24,209742445	0,00976801	0,284493	-677,345366056	-1,82919978801
23,5	-24,797104094	0,00854701	0,465201	-692,752990995	-1,78851627652
