Time in s	CH II in Volt	
0.E+0	2.80E-03	
1.E-4	4.00E-03	
2.E-4	4.80E-03	
3.E-4	4.80E-03	
4.E-4	6.00E-03	
5.E-4	6.00E-03	
6.E-4	5.20E-03	
7.E-4	6.40E-03	
8.E-4	6.00E-03	
9.E-4	6.00E-03	
1.E-3	4.80E-03	
1.1E-3	6.00E-03	
1.2E-3	5.60E-03	
1.3E-3	5.60E-03	
1.4E-3	4.80E-03	
1.5E-3	5.60E-03	
1.6E-3	5.20E-03	
1.7E-3	5.20E-03	
1.8E-3	5.20E-03	
1.9E-3	5.20E-03	
2.E-3	6.00E-03	
2.1E-3	5.60E-03	
2.2E-3	5.60E-03	
2.3E-3	6.00E-03	
2.4E-3	6.40E-03	
2.5E-3	6.80E-03	
2.6E-3	7.20E-03	
2.7E-3	7.20E-03	
2.8E-3	7.60E-03	
2.9E-3	7.60E-03	
3.E-3	8.00E-03	
3.1E-3	7.60E-03	
3.2E-3	7.60E-03	
3.3E-3	8.00E-03	
3.4E-3	7.60E-03	
3.5E-3	8.00E-03	
3.6E-3	8.00E-03	
3.7E-3	8.80E-03	
3.8E-3	8.00E-03	
3.9E-3	8.00E-03	
4.E-3	7.60E-03	
4.1E-3	8.40E-03	
4.2E-3	7.60E-03	
4.3E-3	7.60E-03	
4.4E-3	7.60E-03	
4.5E-3	7.60E-03	
4.6E-3	8.40E-03	
4.7E-3	8.00E-03	
4.8E-3	8.00E-03	
4.9E-3	7.20E-03	
5.E-3	8.00E-03	
5.1E-3	7.20E-03	
5.2E-3	7.20E-03	
5.3E-3	5.60E-03	
5.4E-3	6.00E-03	
5.5E-3	6.40E-03	
5.6E-3	5.60E-03	
5.7E-3	4.80E-03	
5.8E-3	5.60E-03	
5.9E-3	4.80E-03	
6.E-3	4.80E-03	
6.1E-3	4.80E-03	
6.2E-3	4.80E-03	
6.3E-3	5.60E-03	
6.4E-3	6.00E-03	
6.5E-3	6.40E-03	
6.6E-3	6.00E-03	
6.7E-3	6.40E-03	
6.8E-3	6.80E-03	
6.9E-3	6.80E-03	
7.E-3	7.20E-03	
7.1E-3	6.80E-03	
7.2E-3	7.20E-03	
7.3E-3	7.60E-03	
7.4E-3	6.80E-03	
7.5E-3	6.00E-03	
7.6E-3	6.00E-03	
7.7E-3	6.00E-03	
7.8E-3	5.20E-03	
7.9E-3	5.60E-03	
8.E-3	5.60E-03	
8.1E-3	5.60E-03	
8.2E-3	5.20E-03	
8.3E-3	5.20E-03	
8.4E-3	5.20E-03	
8.5E-3	5.60E-03	
8.6E-3	6.00E-03	
8.7E-3	5.60E-03	
8.8E-3	5.60E-03	
8.9E-3	6.00E-03	
9.E-3	5.20E-03	
9.1E-3	4.80E-03	
9.2E-3	5.60E-03	
9.3E-3	6.80E-03	
9.4E-3	8.80E-03	
9.5E-3	9.20E-03	
9.6E-3	1.08E-02	
9.7E-3	1.16E-02	
9.8E-3	1.20E-02	
9.9E-3	1.28E-02	
1.E-2	1.32E-02	
1.01E-2	1.20E-02	
1.02E-2	1.44E-02	
1.03E-2	1.28E-02	
1.04E-2	1.32E-02	
1.05E-2	1.32E-02	
1.06E-2	1.24E-02	
1.07E-2	1.16E-02	
1.08E-2	1.12E-02	
1.09E-2	1.04E-02	
1.1E-2	1.00E-02	
1.11E-2	9.60E-03	
1.12E-2	8.80E-03	
1.13E-2	8.80E-03	
1.14E-2	7.60E-03	
1.15E-2	7.20E-03	
1.16E-2	6.80E-03	
1.17E-2	6.00E-03	
1.18E-2	5.60E-03	
1.19E-2	4.80E-03	
1.2E-2	4.40E-03	
1.21E-2	3.20E-03	
1.22E-2	2.40E-03	
1.23E-2	1.60E-03	
1.24E-2	1.20E-03	
1.25E-2	4.00E-04	
1.26E-2	-4.00E-04	
1.27E-2	-1.20E-03	
1.28E-2	-1.20E-03	
1.29E-2	-2.80E-03	
1.3E-2	-3.60E-03	
1.31E-2	-4.00E-03	
1.32E-2	-4.40E-03	
1.33E-2	-4.80E-03	
1.34E-2	-5.60E-03	
1.35E-2	-6.00E-03	
1.36E-2	-6.80E-03	
1.37E-2	-7.60E-03	
1.38E-2	-7.60E-03	
1.39E-2	-8.40E-03	
1.4E-2	-8.40E-03	
1.41E-2	-9.20E-03	
1.42E-2	-9.60E-03	
1.43E-2	-1.04E-02	
1.44E-2	-1.04E-02	
1.45E-2	-1.12E-02	
1.46E-2	-1.08E-02	
1.47E-2	-1.08E-02	
1.48E-2	-1.12E-02	
1.49E-2	-1.12E-02	
1.5E-2	-1.16E-02	
1.51E-2	-1.12E-02	
1.52E-2	-1.12E-02	
1.53E-2	-1.16E-02	
1.54E-2	-1.12E-02	
1.55E-2	-1.08E-02	
1.56E-2	-1.12E-02	
1.57E-2	-1.08E-02	
1.58E-2	-1.00E-02	
1.59E-2	-1.04E-02	
1.6E-2	-9.60E-03	
1.61E-2	-1.04E-02	
1.62E-2	-1.04E-02	
1.63E-2	-1.08E-02	
1.64E-2	-1.20E-02	
1.65E-2	-1.16E-02	
1.66E-2	-1.24E-02	
1.67E-2	-1.28E-02	
1.68E-2	-1.32E-02	
1.69E-2	-1.40E-02	
1.7E-2	-1.32E-02	
1.71E-2	-1.44E-02	
1.72E-2	-1.40E-02	
1.73E-2	-1.44E-02	
1.74E-2	-1.48E-02	
1.75E-2	-1.52E-02	
1.76E-2	-1.52E-02	
1.77E-2	-1.52E-02	
1.78E-2	-1.48E-02	
1.79E-2	-1.60E-02	
1.8E-2	-1.64E-02	
1.81E-2	-1.64E-02	
1.82E-2	-1.68E-02	
1.83E-2	-1.68E-02	
1.84E-2	-1.68E-02	
1.85E-2	-1.64E-02	
1.86E-2	-1.64E-02	
1.87E-2	-1.64E-02	
1.88E-2	-1.68E-02	
1.89E-2	-1.56E-02	
1.9E-2	-1.52E-02	
1.91E-2	-1.52E-02	
1.92E-2	-1.36E-02	
1.93E-2	-1.24E-02	
1.94E-2	-1.00E-02	
1.95E-2	-6.40E-03	
1.96E-2	-4.40E-03	
1.97E-2	-1.60E-03	
1.98E-2	8.00E-04	
1.99E-2	2.00E-03	
2.E-2	3.20E-03	
2.01E-2	4.80E-03	
2.02E-2	5.60E-03	
2.03E-2	6.00E-03	
2.04E-2	6.00E-03	
2.05E-2	6.80E-03	
2.06E-2	6.80E-03	
2.07E-2	6.40E-03	
2.08E-2	7.20E-03	
2.09E-2	6.40E-03	
2.1E-2	6.40E-03	
2.11E-2	6.40E-03	
2.12E-2	5.20E-03	
2.13E-2	5.60E-03	
2.14E-2	5.20E-03	
2.15E-2	5.60E-03	
2.16E-2	5.20E-03	
2.17E-2	4.80E-03	
2.18E-2	5.20E-03	
2.19E-2	5.20E-03	
2.2E-2	5.20E-03	
2.21E-2	5.20E-03	
2.22E-2	5.20E-03	
2.23E-2	5.60E-03	
2.24E-2	6.00E-03	
2.25E-2	6.00E-03	
2.26E-2	6.40E-03	
2.27E-2	6.80E-03	
2.28E-2	6.80E-03	
2.29E-2	7.60E-03	
2.3E-2	7.60E-03	
2.31E-2	8.00E-03	
2.32E-2	7.60E-03	
2.33E-2	8.80E-03	
2.34E-2	8.40E-03	
2.35E-2	8.80E-03	
2.36E-2	8.80E-03	
2.37E-2	8.00E-03	
2.38E-2	8.80E-03	
2.39E-2	8.80E-03	
2.4E-2	9.20E-03	
2.41E-2	8.80E-03	
2.42E-2	9.60E-03	
2.43E-2	9.60E-03	
2.44E-2	9.20E-03	
2.45E-2	9.20E-03	
2.46E-2	8.80E-03	
2.47E-2	8.80E-03	
2.48E-2	8.80E-03	
2.49E-2	9.60E-03	
2.5E-2	8.40E-03	
2.51E-2	7.60E-03	
2.52E-2	7.60E-03	
2.53E-2	7.20E-03	
2.54E-2	6.80E-03	
2.55E-2	6.00E-03	
2.56E-2	6.00E-03	
2.57E-2	5.60E-03	
2.58E-2	5.60E-03	
2.59E-2	4.80E-03	
2.6E-2	4.80E-03	
2.61E-2	4.80E-03	
2.62E-2	4.80E-03	
2.63E-2	4.80E-03	
2.64E-2	5.20E-03	
2.65E-2	5.20E-03	
2.66E-2	6.00E-03	
2.67E-2	6.00E-03	
2.68E-2	6.80E-03	
2.69E-2	6.80E-03	
2.7E-2	7.20E-03	
2.71E-2	6.80E-03	
2.72E-2	7.20E-03	
2.73E-2	7.20E-03	
2.74E-2	7.60E-03	
2.75E-2	7.20E-03	
2.76E-2	7.20E-03	
2.77E-2	7.60E-03	
2.78E-2	7.60E-03	
2.79E-2	6.40E-03	
2.8E-2	7.20E-03	
2.81E-2	6.40E-03	
2.82E-2	6.40E-03	
2.83E-2	6.40E-03	
2.84E-2	6.00E-03	
2.85E-2	5.60E-03	
2.86E-2	5.20E-03	
2.87E-2	5.60E-03	
2.88E-2	5.60E-03	
2.89E-2	4.80E-03	
2.9E-2	4.80E-03	
2.91E-2	4.80E-03	
2.92E-2	5.60E-03	
2.93E-2	5.60E-03	
2.94E-2	7.60E-03	
2.95E-2	8.80E-03	
2.96E-2	1.04E-02	
2.97E-2	1.20E-02	
2.98E-2	1.32E-02	
2.99E-2	1.36E-02	
3.E-2	1.40E-02	
3.01E-2	1.44E-02	
3.02E-2	1.52E-02	
3.03E-2	1.44E-02	
3.04E-2	1.40E-02	
3.05E-2	1.36E-02	
3.06E-2	1.32E-02	
3.07E-2	1.36E-02	
3.08E-2	1.28E-02	
3.09E-2	1.20E-02	
3.1E-2	1.12E-02	
3.11E-2	1.16E-02	
3.12E-2	1.00E-02	
3.13E-2	1.04E-02	
3.14E-2	9.60E-03	
3.15E-2	8.80E-03	
3.16E-2	7.60E-03	
3.17E-2	7.60E-03	
3.18E-2	6.40E-03	
3.19E-2	6.00E-03	
3.2E-2	5.20E-03	
3.21E-2	5.20E-03	
3.22E-2	3.60E-03	
3.23E-2	2.80E-03	
3.24E-2	2.40E-03	
3.25E-2	2.00E-03	
3.26E-2	4.00E-04	
3.27E-2	8.00E-04	
3.28E-2	-1.60E-03	
3.29E-2	-1.60E-03	
3.3E-2	-1.20E-03	
3.31E-2	-4.00E-03	
3.32E-2	-4.00E-03	
3.33E-2	-4.40E-03	
3.34E-2	-4.80E-03	
3.35E-2	-5.60E-03	
3.36E-2	-6.00E-03	
3.37E-2	-6.40E-03	
3.38E-2	-6.80E-03	
3.39E-2	-7.60E-03	
3.4E-2	-8.40E-03	
3.41E-2	-8.80E-03	
3.42E-2	-9.20E-03	
3.43E-2	-9.20E-03	
3.44E-2	-9.60E-03	
3.45E-2	-1.00E-02	
3.46E-2	-1.00E-02	
3.47E-2	-1.04E-02	
3.48E-2	-1.04E-02	
3.49E-2	-1.08E-02	
3.5E-2	-1.12E-02	
3.51E-2	-1.04E-02	
3.52E-2	-1.08E-02	
3.53E-2	-1.04E-02	
3.54E-2	-1.08E-02	
3.55E-2	-1.00E-02	
3.56E-2	-1.00E-02	
3.57E-2	-1.00E-02	
3.58E-2	-1.00E-02	
3.59E-2	-9.60E-03	
3.6E-2	-1.00E-02	
3.61E-2	-1.00E-02	
3.62E-2	-1.04E-02	
3.63E-2	-1.12E-02	
3.64E-2	-1.16E-02	
3.65E-2	-1.20E-02	
3.66E-2	-1.20E-02	
3.67E-2	-1.28E-02	
3.68E-2	-1.32E-02	
3.69E-2	-1.36E-02	
3.7E-2	-1.44E-02	
3.71E-2	-1.44E-02	
3.72E-2	-1.48E-02	
3.73E-2	-1.48E-02	
3.74E-2	-1.56E-02	
3.75E-2	-1.56E-02	
3.76E-2	-1.56E-02	
3.77E-2	-1.60E-02	
3.78E-2	-1.60E-02	
3.79E-2	-1.56E-02	
3.8E-2	-1.64E-02	
3.81E-2	-1.68E-02	
3.82E-2	-1.64E-02	
3.83E-2	-1.64E-02	
3.84E-2	-1.68E-02	
3.85E-2	-1.68E-02	
3.86E-2	-1.68E-02	
3.87E-2	-1.64E-02	
3.88E-2	-1.72E-02	
3.89E-2	-1.64E-02	
3.9E-2	-1.60E-02	
3.91E-2	-1.60E-02	
3.92E-2	-1.52E-02	
3.93E-2	-1.40E-02	
3.94E-2	-1.20E-02	
3.95E-2	-8.40E-03	
3.96E-2	-5.20E-03	
3.97E-2	-3.20E-03	
3.98E-2	-8.00E-04	
3.99E-2	1.20E-03	
4.E-2	2.40E-03	
4.01E-2	4.00E-03	
4.02E-2	4.40E-03	
4.03E-2	5.60E-03	
4.04E-2	6.40E-03	
4.05E-2	6.40E-03	
4.06E-2	6.80E-03	
4.07E-2	6.40E-03	
4.08E-2	6.00E-03	
4.09E-2	6.40E-03	
4.1E-2	5.60E-03	
4.11E-2	5.20E-03	
4.12E-2	6.00E-03	
4.13E-2	5.20E-03	
4.14E-2	5.20E-03	
4.15E-2	4.80E-03	
4.16E-2	5.20E-03	
4.17E-2	4.00E-03	
4.18E-2	4.40E-03	
4.19E-2	4.80E-03	
4.2E-2	4.80E-03	
4.21E-2	5.20E-03	
4.22E-2	5.20E-03	
4.23E-2	6.00E-03	
4.24E-2	6.00E-03	
4.25E-2	6.00E-03	
4.26E-2	6.80E-03	
4.27E-2	6.40E-03	
4.28E-2	7.20E-03	
4.29E-2	6.80E-03	
4.3E-2	7.60E-03	
4.31E-2	7.60E-03	
4.32E-2	7.60E-03	
4.33E-2	8.40E-03	
4.34E-2	8.00E-03	
4.35E-2	8.00E-03	
4.36E-2	8.00E-03	
4.37E-2	8.40E-03	
4.38E-2	8.00E-03	
4.39E-2	8.40E-03	
4.4E-2	8.40E-03	
4.41E-2	9.20E-03	
4.42E-2	8.40E-03	
4.43E-2	8.80E-03	
4.44E-2	8.80E-03	
4.45E-2	9.60E-03	
4.46E-2	9.60E-03	
4.47E-2	9.20E-03	
4.48E-2	9.60E-03	
4.49E-2	1.00E-02	
4.5E-2	9.60E-03	
4.51E-2	8.80E-03	
4.52E-2	8.40E-03	
4.53E-2	7.20E-03	
4.54E-2	7.20E-03	
4.55E-2	7.20E-03	
4.56E-2	6.40E-03	
4.57E-2	6.00E-03	
4.58E-2	5.60E-03	
4.59E-2	5.20E-03	
4.6E-2	4.40E-03	
4.61E-2	4.40E-03	
4.62E-2	5.20E-03	
4.63E-2	4.80E-03	
4.64E-2	4.80E-03	
4.65E-2	4.80E-03	
4.66E-2	6.00E-03	
4.67E-2	6.00E-03	
4.68E-2	6.00E-03	
4.69E-2	6.00E-03	
4.7E-2	5.60E-03	
4.71E-2	6.40E-03	
4.72E-2	6.80E-03	
4.73E-2	7.20E-03	
4.74E-2	7.20E-03	
4.75E-2	7.20E-03	
4.76E-2	6.80E-03	
4.77E-2	6.80E-03	
4.78E-2	7.20E-03	
4.79E-2	6.80E-03	
4.8E-2	7.60E-03	
4.81E-2	7.20E-03	
4.82E-2	6.80E-03	
4.83E-2	5.60E-03	
4.84E-2	5.60E-03	
4.85E-2	5.20E-03	
4.86E-2	5.60E-03	
4.87E-2	5.60E-03	
4.88E-2	5.20E-03	
4.89E-2	4.40E-03	
4.9E-2	4.40E-03	
4.91E-2	4.00E-03	
4.92E-2	4.40E-03	
4.93E-2	4.00E-03	
4.94E-2	5.60E-03	
4.95E-2	7.20E-03	
4.96E-2	8.80E-03	
4.97E-2	1.08E-02	
4.98E-2	1.16E-02	
4.99E-2	1.28E-02	
5.E-2	1.40E-02	
5.01E-2	1.36E-02	
5.02E-2	1.44E-02	
5.03E-2	1.40E-02	
5.04E-2	1.40E-02	
5.05E-2	1.40E-02	
