[s],CH2[V]
1.34204E-01,3.927E+00
1.34208E-01,4.327E+00
1.34212E-01,3.927E+00
1.34216E-01,3.927E+00
1.34220E-01,4.327E+00
1.34224E-01,4.327E+00
1.34228E-01,4.327E+00
1.34232E-01,3.927E+00
1.34236E-01,3.927E+00
1.34240E-01,4.327E+00
1.34244E-01,4.327E+00
1.34248E-01,3.927E+00
1.34252E-01,3.927E+00
1.34256E-01,3.927E+00
1.34260E-01,3.927E+00
1.34264E-01,3.927E+00
1.34268E-01,4.327E+00
1.34272E-01,3.927E+00
1.34276E-01,3.927E+00
1.34280E-01,3.927E+00
1.34284E-01,3.927E+00
1.34288E-01,3.527E+00
1.34292E-01,4.327E+00
1.34296E-01,3.927E+00
1.34300E-01,3.927E+00
1.34304E-01,3.927E+00
1.34308E-01,3.927E+00
1.34312E-01,3.527E+00
1.34316E-01,3.527E+00
1.34320E-01,3.927E+00
1.34324E-01,3.527E+00
1.34328E-01,3.527E+00
1.34332E-01,3.927E+00
1.34336E-01,3.527E+00
1.34340E-01,3.527E+00
1.34344E-01,3.927E+00
1.34348E-01,3.927E+00
1.34352E-01,3.927E+00
1.34356E-01,3.527E+00
1.34360E-01,3.527E+00
1.34364E-01,3.927E+00
1.34368E-01,3.927E+00
1.34372E-01,3.527E+00
1.34376E-01,3.927E+00
1.34380E-01,3.527E+00
1.34384E-01,3.127E+00
1.34388E-01,3.527E+00
1.34392E-01,3.527E+00
1.34396E-01,3.527E+00
1.34400E-01,3.527E+00
1.34404E-01,3.527E+00
1.34408E-01,3.527E+00
1.34412E-01,3.127E+00
1.34416E-01,3.127E+00
1.34420E-01,3.527E+00
1.34424E-01,3.527E+00
1.34428E-01,3.127E+00
1.34432E-01,3.127E+00
1.34436E-01,3.127E+00
1.34440E-01,3.127E+00
1.34444E-01,3.127E+00
1.34448E-01,3.527E+00
1.34452E-01,3.127E+00
1.34456E-01,3.127E+00
1.34460E-01,3.127E+00
1.34464E-01,3.527E+00
1.34468E-01,3.127E+00
1.34472E-01,3.127E+00
1.34476E-01,2.727E+00
1.34480E-01,3.127E+00
1.34484E-01,3.127E+00
1.34488E-01,3.127E+00
1.34492E-01,3.127E+00
