# Spannung/ V	Period/ s	Counts per second
2000,000	2500,000	0,006
2000,000	2500,000	0,005
2000,000	2500,000	0,005
2000,000	2500,000	0,008
2000,000	2500,000	0,006
2000,000	2500,000	0,007
2000,000	2500,000	0,008
2000,000	2500,000	0,008
2000,000	2500,000	0,010
2000,000	2500,000	0,011

3500,000	2500,000	0,650
3500,000	2500,000	0,483
3500,000	2500,000	0,454
3500,000	2500,000	0,458
3500,000	2500,000	0,425
3500,000	2500,000	0,432
3500,000	2500,000	0,402
3500,000	2500,000	0,398
3500,000	2500,000	0,406
3500,000	2500,000	0,402
