[s],CH1[V]
3.55820E-01,3.571E+00
3.55840E-01,3.771E+00
3.55860E-01,3.571E+00
3.55880E-01,3.771E+00
3.55900E-01,3.771E+00
3.55920E-01,3.971E+00
3.55940E-01,3.771E+00
3.55960E-01,3.571E+00
3.55980E-01,3.771E+00
3.56000E-01,3.971E+00
3.56020E-01,3.971E+00
3.56040E-01,3.771E+00
3.56060E-01,3.771E+00
3.56080E-01,3.971E+00
3.56100E-01,3.771E+00
3.56120E-01,3.771E+00
3.56140E-01,3.571E+00
3.56160E-01,3.771E+00
3.56180E-01,3.971E+00
3.56200E-01,3.771E+00
3.56220E-01,3.771E+00
3.56240E-01,3.771E+00
3.56260E-01,3.771E+00
3.56280E-01,3.771E+00
3.56300E-01,3.771E+00
3.56320E-01,3.771E+00
3.56340E-01,3.771E+00
3.56360E-01,3.971E+00
3.56380E-01,3.771E+00
3.56400E-01,3.771E+00
3.56420E-01,3.771E+00
3.56440E-01,3.771E+00
3.56460E-01,3.771E+00
3.56480E-01,3.771E+00
3.56500E-01,3.771E+00
3.56520E-01,3.771E+00
3.56540E-01,3.771E+00
3.56560E-01,3.771E+00
3.56580E-01,3.771E+00
3.56600E-01,3.771E+00
3.56620E-01,3.771E+00
3.56640E-01,3.771E+00
3.56660E-01,3.771E+00
3.56680E-01,3.771E+00
3.56700E-01,3.771E+00
3.56720E-01,3.771E+00
3.56740E-01,3.771E+00
3.56760E-01,3.971E+00
3.56780E-01,3.771E+00
3.56800E-01,3.771E+00
3.56820E-01,3.971E+00
3.56840E-01,3.971E+00
3.56860E-01,3.971E+00
3.56880E-01,3.771E+00
3.56900E-01,3.971E+00
3.56920E-01,3.771E+00
3.56940E-01,3.771E+00
3.56960E-01,3.571E+00
3.56980E-01,3.971E+00
3.57000E-01,3.771E+00
3.57020E-01,3.771E+00
3.57040E-01,3.771E+00
3.57060E-01,3.771E+00
3.57080E-01,3.771E+00
3.57100E-01,3.571E+00
3.57120E-01,3.771E+00
3.57140E-01,3.771E+00
3.57160E-01,3.971E+00
3.57180E-01,3.771E+00
3.57200E-01,3.771E+00
3.57220E-01,3.971E+00
3.57240E-01,3.771E+00
3.57260E-01,3.571E+00
3.57280E-01,3.771E+00
3.57300E-01,3.771E+00
3.57320E-01,3.771E+00
3.57340E-01,3.771E+00
3.57360E-01,3.971E+00
3.57380E-01,3.771E+00
3.57400E-01,3.771E+00
3.57420E-01,3.771E+00
3.57440E-01,3.971E+00
3.57460E-01,3.571E+00
3.57480E-01,3.771E+00
3.57500E-01,3.771E+00
3.57520E-01,3.771E+00
3.57540E-01,3.771E+00
3.57560E-01,3.971E+00
3.57580E-01,3.771E+00
3.57600E-01,3.571E+00
3.57620E-01,3.771E+00
3.57640E-01,3.771E+00
3.57660E-01,3.571E+00
3.57680E-01,3.971E+00
3.57700E-01,3.771E+00
3.57720E-01,3.971E+00
3.57740E-01,3.571E+00
3.57760E-01,3.971E+00
3.57780E-01,3.771E+00
3.57800E-01,3.571E+00
3.57820E-01,3.771E+00
3.57840E-01,-4.829E+00
3.57860E-01,-4.829E+00
3.57880E-01,-5.029E+00
3.57900E-01,-5.029E+00
3.57920E-01,-4.829E+00
3.57940E-01,-4.829E+00
3.57960E-01,-5.229E+00
3.57980E-01,-5.029E+00
3.58000E-01,-5.029E+00
3.58020E-01,-5.029E+00
3.58040E-01,-5.029E+00
3.58060E-01,-4.829E+00
3.58080E-01,-4.829E+00
3.58100E-01,-4.829E+00
3.58120E-01,-5.029E+00
3.58140E-01,-4.829E+00
3.58160E-01,-4.829E+00
3.58180E-01,-5.029E+00
3.58200E-01,-4.829E+00
3.58220E-01,-5.029E+00
3.58240E-01,-5.029E+00
3.58260E-01,-5.229E+00
3.58280E-01,-4.829E+00
3.58300E-01,-5.029E+00
3.58320E-01,-5.029E+00
3.58340E-01,-5.029E+00
3.58360E-01,-5.029E+00
3.58380E-01,-5.029E+00
3.58400E-01,-5.029E+00
3.58420E-01,-5.029E+00
3.58440E-01,-4.829E+00
3.58460E-01,-5.029E+00
3.58480E-01,-5.229E+00
3.58500E-01,-5.029E+00
3.58520E-01,-5.029E+00
3.58540E-01,-4.829E+00
3.58560E-01,-5.029E+00
3.58580E-01,-5.029E+00
3.58600E-01,-5.029E+00
3.58620E-01,-5.029E+00
3.58640E-01,-5.029E+00
3.58660E-01,-5.029E+00
3.58680E-01,-5.029E+00
3.58700E-01,-5.029E+00
3.58720E-01,-5.029E+00
3.58740E-01,-4.829E+00
3.58760E-01,-4.829E+00
3.58780E-01,-4.829E+00
3.58800E-01,-5.029E+00
3.58820E-01,-4.829E+00
3.58840E-01,-5.229E+00
3.58860E-01,-4.829E+00
3.58880E-01,-4.829E+00
