x in Angstrom	y
5171,0000	-214,1681
5172,0000	-214,1681
5173,0000	-214,1681
5174,0000	-214,1681
5175,0000	-214,1681
5176,0000	-214,1681
5177,0000	-214,1681
5178,0000	-214,1681
5179,0000	-214,1681
5180,0000	-214,1681
5181,0000	-214,1681
5182,0000	-214,1681
5183,0000	-214,1681
5184,0000	-214,1681
5185,0000	-214,1681
5186,0000	-214,1681
5187,0000	-214,1681
5188,0000	-214,1681
5189,0000	-214,1681
5190,0000	-214,1681
5191,0000	-214,1681
5192,0000	-214,1681
5193,0000	-214,1681
5194,0000	-214,1681
5195,0000	-214,1681
5196,0000	-214,1681
5197,0000	-214,1681
5198,0000	-214,1681
5199,0000	-214,1681
5200,0000	-214,1681
5201,0000	-214,1681
5202,0000	-214,1681
5203,0000	-214,1681
5204,0000	-214,1681
5205,0000	-214,1681
5206,0000	-214,1681
5207,0000	-214,1681
5208,0000	-214,1681
5209,0000	-214,1681
5210,0000	-214,1681
5211,0000	-214,1681
5212,0000	-214,1681
5213,0000	-214,1681
5214,0000	-214,1681
5215,0000	-214,1681
5216,0000	-214,1681
5217,0000	-214,1681
5218,0000	-214,1681
5219,0000	-214,1681
5220,0000	-214,1681
5221,0000	-214,1681
5222,0000	-214,1681
5223,0000	-214,1681
5224,0000	-214,1681
5225,0000	-214,1681
5226,0000	-214,1681
5227,0000	-214,1681
5228,0000	-214,1681
5229,0000	-214,1681
5230,0000	-214,1681
5231,0000	-214,1681
5232,0000	-214,1681
5233,0000	-214,1681
5234,0000	-214,1681
5235,0000	-214,1681
5236,0000	-214,1681
5237,0000	-214,1681
5238,0000	-214,1681
5239,0000	-214,1681
5240,0000	-214,1681
5241,0000	-214,1681
5242,0000	-214,1681
5243,0000	-214,1681
5244,0000	-214,1681
5245,0000	-214,1681
5246,0000	-214,1681
5247,0000	-214,1681
5248,0000	-214,1681
5249,0000	-214,1681
5250,0000	-214,1681
5251,0000	-214,1681
5252,0000	-214,1681
5253,0000	-214,1681
5254,0000	-214,1681
5255,0000	-214,1681
5256,0000	-214,1681
5257,0000	-214,1681
5258,0000	-214,1681
5259,0000	-214,1681
5260,0000	-214,1681
5261,0000	-214,1681
5262,0000	-214,1681
5263,0000	-214,1681
5264,0000	-214,1681
5265,0000	-214,1681
5266,0000	-214,1681
5267,0000	-214,1681
5268,0000	-214,1681
5269,0000	-214,1681
5270,0000	-214,1681
5271,0000	-214,1681
