x in Angstrom	y
4001,0000	-214,1681
4002,0000	-214,1681
4003,0000	-214,1681
4004,0000	-214,1681
4005,0000	-214,1681
4006,0000	-214,1681
4007,0000	-214,1681
4008,0000	-214,1681
4009,0000	-214,1681
4010,0000	-214,1681
4011,0000	-214,1681
4012,0000	-214,1681
4013,0000	-214,1681
4014,0000	-214,1681
4015,0000	-214,1681
4016,0000	-214,1681
4017,0000	-214,1681
4018,0000	-214,1681
4019,0000	-214,1681
4020,0000	-214,1681
4021,0000	-214,1681
4022,0000	-214,1681
4023,0000	-214,1681
4024,0000	-214,1681
4025,0000	-214,1681
4026,0000	-214,1681
4027,0000	-214,1681
4028,0000	-214,1681
4029,0000	-214,1681
4030,0000	-214,1681
4031,0000	-214,1681
4032,0000	-214,1681
4033,0000	-214,1681
4034,0000	-214,1681
4035,0000	-214,1681
4036,0000	-214,1681
4037,0000	-214,1681
4038,0000	-214,1681
4039,0000	-214,1681
4040,0000	-214,1681
4041,0000	-214,1681
4042,0000	-214,1681
4043,0000	-214,1681
4044,0000	-214,1681
4045,0000	-214,1681
4046,0000	-214,1681
4047,0000	-214,1681
4048,0000	-214,1681
4049,0000	-214,1681
4050,0000	-214,1681
4051,0000	-214,1681
4052,0000	-214,1681
4053,0000	-214,1681
4054,0000	-214,1681
4055,0000	-214,1681
4056,0000	-214,1681
4057,0000	-214,1681
4058,0000	-214,1681
4059,0000	-214,1681
4060,0000	-214,1681
4061,0000	-214,1681
4062,0000	-214,1681
4063,0000	-214,1681
4064,0000	-214,1681
4065,0000	-214,1681
4066,0000	-214,1681
4067,0000	-214,1681
4068,0000	-214,1681
4069,0000	-214,1681
4070,0000	-214,1681
4071,0000	-214,1681
4072,0000	-214,1681
4073,0000	-214,1681
4074,0000	-214,1681
4075,0000	-214,1681
4076,0000	-214,1681
4077,0000	-214,1681
4078,0000	-214,1681
4079,0000	-214,1681
4080,0000	-214,1681
4081,0000	-214,1681
4082,0000	-214,1681
4083,0000	-214,1681
4084,0000	-214,1681
4085,0000	-214,1681
4086,0000	-214,1681
4087,0000	-214,1681
4088,0000	-214,1681
4089,0000	-214,1681
4090,0000	-214,1681
4091,0000	-214,1681
4092,0000	-214,1681
4093,0000	-214,1681
4094,0000	-214,1681
4095,0000	-214,1681
4096,0000	-214,1681
4097,0000	-214,1681
4098,0000	-214,1681
4099,0000	-214,1681
4100,0000	-214,1681
4101,0000	-214,1681
4102,0000	-214,1681
4103,0000	-214,1681
4104,0000	-214,1681
4105,0000	-214,1681
4106,0000	-214,1681
4107,0000	-214,1681
4108,0000	-214,1681
4109,0000	-214,1681
4110,0000	-214,1681
4111,0000	-214,1681
4112,0000	-214,1681
4113,0000	-214,1681
4114,0000	-214,1681
4115,0000	-214,1681
4116,0000	-214,1681
4117,0000	-214,1681
4118,0000	-214,1681
4119,0000	-214,1681
4120,0000	-214,1681
4121,0000	-214,1681
4122,0000	-214,1681
4123,0000	-214,1681
4124,0000	-214,1681
4125,0000	-214,1681
