x in Angstrom	y
4031,0000	-214,1681
4032,0000	-214,1681
4033,0000	-214,1681
4034,0000	-214,1681
4035,0000	-214,1681
4036,0000	-214,1681
4037,0000	-214,1681
4038,0000	-214,1681
4039,0000	-214,1681
4040,0000	-214,1681
4041,0000	-214,1681
4042,0000	-214,1681
4043,0000	-214,1681
4044,0000	-214,1681
4045,0000	-214,1681
4046,0000	-214,1681
4047,0000	-214,1681
4048,0000	-214,1681
4049,0000	-214,1681
4050,0000	-214,1681
4051,0000	-214,1681
4052,0000	-214,1681
4053,0000	-214,1681
4054,0000	-214,1681
4055,0000	-214,1681
4056,0000	-214,1681
4057,0000	-214,1681
4058,0000	-214,1681
4059,0000	-214,1681
4060,0000	-214,1681
4061,0000	-214,1681
