Vernier Format 2
lampe_vor_neueinstellung.cmbl 21.10.2014 11:54:19 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	-80,591116239	0,00610501	0,02442	-1629,52589724	-0,760343853447
0,5	-80,134695085	0,00732601	0,031746	-1627,32317708	-0,761373043442
1	-79,808145524	0,00732601	0,026862	-1625,6838468	-0,762140807658
1,5	-79,547333436	0,00610501	0,028083	-1624,3365955	-0,762772939695
2	-79,025174809	0,00854701	0,029304	-1621,53821501	-0,76408930023
2,5	-78,829565743	0,00610501	0,023199	-1620,45520816	-0,764599967811
3	-78,242204094	0,00610501	0,02442	-1617,08977601	-0,766191227218
3,5	-77,980857555	0,00610501	0,015873	-1615,53767556	-0,766927332457
4	-77,654842445	0,00610501	0,00976801	-1613,5544036	-0,76786998767
4,5	-77,19788684	0,00610501	0,018315	-1610,68665849	-0,769237140859
5	-76,937074752	0,00610501	0,013431	-1609,00392708	-0,770041625843
5,5	-76,414916125	0,00488401	0,00732601	-1605,53486065	-0,771705448673
6	-76,088366564	0,00610501	0,019536	-1603,29757207	-0,772782309151
6,5	-75,566742388	0,00610501	0,010989	-1599,61576076	-0,774561010459
7	-75,305395849	0,00610501	0,00732601	-1597,72120928	-0,775479472141
7,5	-74,783237222	0,00610501	0,01221	-1593,83646418	-0,777369590822
8	-74,522425134	0,00610501	0,00976801	-1591,84648689	-0,778341385433
8,5	-74,000266507	0,00488401	0,00732601	-1587,76337384	-0,780342978313
9	-73,674251397	0,00610501	0,013431	-1585,14714842	-0,78163090489
9,5	-73,47810788	0,00610501	0,00854701	-1583,54839188	-0,782420042451
10	-72,890746231	0,00610501	0,00976801	-1578,64991552	-0,784847855006
10,5	-72,629934143	0,013431	0,020757	-1576,42157599	-0,785957271122
11	-72,107775516	0,00610501	0,019536	-1571,86221546	-0,788237027273
11,5	-71,91216645	0,00610501	0,02442	-1570,12057147	-0,789111373047
12	-71,324804801	0,00610501	0,03663	-1564,78098474	-0,791804100436
12,5	-71,063992713	0,00610501	0,021978	-1562,35723907	-0,793032456992
13	-70,541834086	0,00732601	0,026862	-1557,40754569	-0,79555284256
13,5	-70,280487547	0,00610501	0,034188	-1554,88156815	-0,796845255214
14	-69,758863371	0,00610501	0,00976801	-1549,74327525	-0,79948725688
14,5	-69,497516832	0,00610501	0,023199	-1547,12053748	-0,800842578186
15	-68,844952161	0,00610501	0,017094	-1540,43132662	-0,804320178764
15,5	-68,649343095	0,00610501	0,00610501	-1538,38724109	-0,80538889488
16	-68,061981446	0,00610501	0,00854701	-1532,14174029	-0,808671918149
16,5	-67,86637238	0,00610501	0,00732601	-1530,02602813	-0,809790145541
17	-67,279010731	0,00610501	0,00610501	-1523,56604073	-0,813223691577
17,5	-67,083401665	0,00610501	0,01221	-1521,37909701	-0,814392679925
18	-66,822055126	0,00610501	0,00854701	-1518,42952853	-0,815974647961
18,5	-66,299896499	0,00610501	0,01221	-1512,44186956	-0,819205038512
19	-65,973881389	0,00732601	0,028083	-1508,63968349	-0,821269660051
19,5	-65,516925784	0,00610501	0,02442	-1503,22820719	-0,824226151475
20	-65,190910674	0,00610501	0,020757	-1499,30892476	-0,826380727506
20,5	-64,733955069	0,00610501	0,031746	-1493,73383091	-0,829465045485
21	-64,407405508	0,00610501	0,010989	-1489,69152856	-0,831715812464
21,5	-63,885781332	0,00610501	0,015873	-1483,13410151	-0,835393103522
22	-63,559231771	0,00610501	0,015873	-1478,96639035	-0,837747232177
22,5	-63,102276166	0,00610501	0,00732601	-1473,05370496	-0,841109863018
