Vernier Format 2
Bandlücke-Si_try.txt 20.10.2014 18:10:35 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	81,1796657019	0,00854701	0,0659341	1632,2136178	0,759091816468
0,5	80,592357498	0,00732601	0,0610501	1629,53174671	0,760341124067
1	80,3313316296	0,00732601	0,041514	1628,28482819	0,760923383029
1,5	80,0703057612	0,00732601	0,0634921	1627,00411474	0,761522351896
2	79,5482540244	0,00732601	0,0622711	1624,3414101	0,762770678811
2,5	79,287228156	0,00610501	0,041514	1622,95947417	0,763420171434
3	78,7651764192	0,010989	0,0598291	1620,09457851	0,76477016616
3,5	78,5041505508	0,00732601	0,0573871	1618,61167823	0,765470814687
4	77,982098814	0,00732601	0,046398	1615,54512669	0,766923795275
4,5	77,3947906101	0,01221	0,0500611	1611,93495239	0,768641438143
5	77,1337647417	0,010989	0,0683761	1610,27604235	0,769433294303
5,5	76,6117130049	0,00732601	0,030525	1606,85799393	0,771070004122
6	76,3506871365	0,034188	0,0622711	1605,09892649	0,771915038725
6,5	75,8286353997	0,028083	0,037851	1601,48088772	0,773658936239
7	75,5676095313	0,030525	0,034188	1599,62199147	0,774557993454
7,5	75,0455577945	0,042735	0,035409	1595,80463817	0,776410827721
8	74,7845319261	0,045177	0,047619	1593,84626034	0,777364812926
8,5	74,2624801893	0,0586081	0,046398	1589,83030555	0,779328457682
9	73,7404284525	0,0695971	0,0537241	1585,68236424	0,781367080787
9,5	73,414146117	0,0866911	0,0573871	1583,02302907	0,782679706643
10	72,8920943802	0,0805861	0,047619	1578,66134896	0,78484217075
10,5	72,6310685118	0,111111	0,0598291	1576,43133862	0,785952403789
11	72,109016775	0,0927961	0,0500611	1571,87320878	0,788231514525
11,5	71,5869650382	0,124542	0,0610501	1567,1845832	0,790589706713
12	71,3259391698	0,131868	0,0659341	1564,79145573	0,791798801984
12,5	70,7386309659	0,140415	0,04884	1559,28825119	0,794593301821
13	70,4776050975	0,159951	0,0622711	1556,78975815	0,795868545197
13,5	69,9555533607	0,173382	0,0805861	1551,69589147	0,798481201639
14	69,7597839594	0,161172	0,0622711	1549,75245684	0,799482520277
14,5	69,1724757555	0,186813	0,0659341	1543,81368784	0,802557983364
15	68,9114498871	0,212454	0,0732601	1541,12212979	0,803959644762
15,5	68,3893981503	0,223443	0,0891331	1535,64311262	0,806828090343
16	67,8673464135	0,229548	0,0781441	1530,0366075	0,809784546284
16,5	67,541064078	0,236874	0,0659341	1526,4680082	0,811677672471
17	67,0842688083	0,257631	0,0781441	1521,38883098	0,814387469378
17,5	66,8232429399	0,278388	0,0781441	1518,44300577	0,815967405621
18	66,235934736	0,304029	0,0915751	1511,69976593	0,819607191803
18,5	65,9749088676	0,318681	0,0976801	1508,65174336	0,82126309498
19	65,4528571308	0,327228	0,0964591	1502,4618263	0,824646575581
19,5	64,930805394	0,346764	0,10989	1496,14717598	0,828127085283
20	64,6697795256	0,355311	0,101343	1492,94323927	0,829904290672
20,5	64,1477277888	0,365079	0,0818071	1486,44247523	0,833533769819
21	63,7561889862	0,401709	0,0903541	1481,48588886	0,836322511956
21,5	63,3646501836	0,411477	0,0976801	1476,46011936	0,839169296719
22	62,8425984468	0,424908	0,0866911	1469,65188128	0,843056791735
22,5	62,5163161113	0,454212	0,0683761	1465,33473828	0,845540590578
23	61,9942643745	0,466422	0,0866911	1458,32852645	0,849602800418
23,5	61,7332385061	0,468864	0,0500611	1454,77998278	0,85167517746
24	61,2111867693	0,503053	0,047619	1447,59238819	0,855903920265
24,5	60,9501609009	0,538462	0,0537241	1443,95348645	0,858060880511
