Vernier Format 2
lampe_vor_neueinstellung.cmbl 21.10.2014 10:57:05 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	85,4213895085	0,00610501	0,041514	1646,47599876	0,75251628383
0,5	84,8993377717	0,00610501	0,042735	1645,20628298	0,753097051002
1	84,5730554362	0,00610501	0,042735	1644,34334449	0,753492270426
1,5	84,0510036994	0,00610501	0,040293	1642,85173861	0,754176393938
2	83,789977831	0,00610501	0,039072	1642,05478187	0,754542426771
2,5	83,2679260942	0,00610501	0,039072	1640,35864347	0,755322627115
3	83,0069002258	0,00610501	0,040293	1639,45949703	0,755736876845
3,5	82,4847950439	0,00610501	0,041514	1637,55894144	0,756613987224
4	81,9627433071	0,00610501	0,039072	1635,52262452	0,757556013854
4,5	81,7017174387	0,00610501	0,030525	1634,4535376	0,758051527006
5	81,1796657019	0,00610501	0,030525	1632,2136178	0,759091816468
5,5	80,592357498	0,00610501	0,031746	1629,53174671	0,760341124067
6	80,3313316296	0,00610501	0,031746	1628,28482819	0,760923383029
6,5	79,8092798928	0,00610501	0,028083	1625,68963295	0,762138095052
7	79,5482540244	0,00610501	0,023199	1624,3414101	0,762770678811
7,5	79,0262022876	0,00610501	0,02442	1621,54385384	0,764086643147
8	78,5041505508	0,00610501	0,026862	1618,61167823	0,765470814687
8,5	78,2431246824	0,00610501	0,028083	1617,0951838	0,766188664965
9	77,6558164785	0,00610501	0,02442	1613,56040685	0,76786713081
9,5	77,3947906101	0,00610501	0,023199	1611,93495239	0,768641438143
10	76,8727388733	0,00610501	0,02442	1608,58371115	0,770242786503
10,5	76,4159436036	0,00610501	0,026862	1605,54181795	0,771702104641
11	76,0896612681	0,00610501	0,030525	1603,30654536	0,772777984091
11,5	75,5676095313	0,00610501	0,028083	1599,62199147	0,774557993454
12	75,3065836629	0,00610501	0,021978	1597,7298952	0,775475256314
12,5	74,7845319261	0,00732601	0,023199	1593,84626034	0,777364812926
13	74,1972237222	0,00732601	0,025641	1589,31902394	0,779579166508
13,5	73,9361978538	0,00610501	0,02442	1587,25328778	0,780593752452
14	73,414146117	0,00732601	0,020757	1583,02302907	0,782679706643
14,5	72,8920943802	0,00732601	0,019536	1578,66134896	0,78484217075
15	72,6310685118	0,00732601	0,020757	1576,43133862	0,785952403789
15,5	72,109016775	0,00732601	0,026862	1571,87320878	0,788231514525
16	71,8479909066	0,00732601	0,028083	1569,54518389	0,789400657414
16,5	71,3259391698	0,00854701	0,02442	1564,79145573	0,791798801984
17	71,0649133014	0,010989	0,028083	1562,36585113	0,793028085646
17,5	70,4776050975	0,01221	0,032967	1556,78975815	0,795868545197
18	69,9555533607	0,018315	0,030525	1551,69589147	0,798481201639
18,5	69,6945274923	0,021978	0,026862	1549,10062354	0,799818927944
19	69,1724757555	0,025641	0,030525	1543,81368784	0,802557983364
19,5	68,9114498871	0,031746	0,030525	1541,12212979	0,803959644762
20	68,3893981503	0,031746	0,030525	1535,64311262	0,806828090343
20,5	67,8673464135	0,039072	0,029304	1530,0366075	0,809784546284
21	67,6063205451	0,045177	0,026862	1527,185692	0,811296233648
21,5	67,0190123412	0,0537241	0,031746	1520,65533258	0,814780294691
22	66,4969606044	0,0561661	0,035409	1514,71641328	0,817974895588
22,5	66,235934736	0,0598291	0,03663	1511,69976593	0,819607191803
23	65,7138829992	0,0659341	0,035409	1505,57240885	0,822942817441
23,5	65,4528571308	0,0744811	0,035409	1502,4618263	0,824646575581
24	64,930805394	0,0830281	0,03663	1496,14717598	0,828127085283
24,5	64,4740101243	0,0866911	0,041514	1490,51994857	0,831253550944
