Vernier Format 2
lampe_vor_neueinstellung.cmbl 21.10.2014 11:20:15 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	-70,541834086	0,014652	0,020757	-1557,40754569	-0,79555284256
0,5	-70,34622502	0,017094	0,026862	-1555,51998406	-0,796518214292
1	-69,693660349	0,018315	0,025641	-1549,0919483	-0,7998234071
1,5	-69,497516832	0,023199	0,020757	-1547,12053748	-0,800842578186
2	-69,171501722	0,028083	0,023199	-1543,80370365	-0,802563173716
2,5	-68,714546117	0,029304	0,02442	-1539,07059642	-0,805031298034
3	-68,388531007	0,032967	0,019536	-1535,63390562	-0,806832927733
3,5	-67,931575402	0,040293	0,020757	-1530,73324821	-0,809416011213
4	-67,605025841	0,043956	0,021978	-1527,17147224	-0,811303787769
4,5	-67,083401665	0,046398	0,028083	-1521,37909701	-0,814392679925
5	-66,822055126	0,0500611	0,028083	-1518,42952853	-0,815974647961
5,5	-66,299896499	0,0573871	0,02442	-1512,44186956	-0,819205038512
6	-65,973881389	0,0634921	0,029304	-1508,63968349	-0,821269660051
6,5	-65,516925784	0,0659341	0,030525	-1503,22820719	-0,824226151475
7	-65,190910674	0,0732601	0,025641	-1499,30892476	-0,826380727506
7,5	-64,994767157	0,0781441	0,026862	-1496,92753417	-0,827695377175
8	-64,473142981	0,0818071	0,029304	-1490,50917608	-0,831259558733
8,5	-64,211796442	0,0854701	0,032967	-1487,24693366	-0,833082907727
9	-63,950984354	0,0903541	0,030525	-1483,96051371	-0,834927876148
9,5	-63,428825727	0,0964591	0,029304	-1477,28860359	-0,838698678774
10	-63,102276166	0,100122	0,025641	-1473,05370496	-0,841109863018
10,5	-62,58065199	0,103785	0,03663	-1466,18975193	-0,845047510643
11	-62,319305451	0,111111	0,029304	-1462,70501112	-0,847060747436
11,5	-61,993290341	0,113553	0,032967	-1458,31534106	-0,849610482117
12	-61,471131714	0,119658	0,023199	-1451,18636283	-0,853784208379
12,5	-61,275522648	0,1221	0,028083	-1448,48466762	-0,855376675842
13	-60,688160999	0,131868	0,021978	-1440,27086893	-0,860254849786
13,5	-60,492017482	0,13431	0,030525	-1437,49419857	-0,86191652198
14	-59,905190284	0,141636	0,021978	-1429,08641781	-0,86698745755
14,5	-59,709046767	0,145299	0,021978	-1426,24269565	-0,868716105454
15	-59,121685118	0,150183	0,015873	-1417,62719082	-0,87399565134
15,5	-58,926076052	0,156288	0,014652	-1414,72485515	-0,875788670486
16	-58,600060942	0,152625	0,015873	-1409,85100277	-0,878816270345
16,5	-58,077902315	0,159951	0,013431	-1401,94981475	-0,883769152763
17	-57,816555776	0,163614	0,018315	-1397,95141245	-0,886296897706
17,5	-57,2949316	0,168498	0,021978	-1389,88408445	-0,891441245975
18	-56,968382039	0,174603	0,015873	-1384,77506398	-0,894730149486
18,5	-56,772772973	0,180708	0,018315	-1381,69311565	-0,896725898078
19	-56,185411324	0,180708	0,018315	-1372,34221478	-0,902836032192
19,5	-55,989802258	0,184371	0,014652	-1369,1960227	-0,904910604075
20	-55,402440609	0,19536	0,010989	-1359,65309341	-0,911261854957
20,5	-55,206297092	0,210012	0,013431	-1356,43445336	-0,91342415915
21	-54,880281982	0,222222	0,017094	-1351,0495194	-0,917064831607
21,5	-54,358123355	0,228327	0,015873	-1342,33373633	-0,923019340472
22	-54,032108245	0,236874	0,015873	-1336,83536781	-0,926815694616
22,5	-53,57515264	0,246642	0,017094	-1329,05582997	-0,932240747199
23	-53,248603079	0,251526	0,021978	-1323,44459722	-0,936193326567
23,5	-52,987790991	0,255189	0,02442	-1318,93207018	-0,939396370754
