Vernier Format 2
Bandlücke-Si_try.txt 20.10.2014 17:56:15 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	-86,790747839	0,483516	0,212454	-1649,15676524	-0,751293040246
0,5	-86,5294013	0,483516	0,225885	-1648,71782494	-0,751493057975
1	-86,007777124	0,445665	0,205128	-1647,73919041	-0,751939388957
1,5	-85,746430585	0,437118	0,203907	-1647,19751115	-0,752186663478
2	-85,420415475	0,409035	0,185592	-1646,47375699	-0,752517308422
2,5	-84,96345987	0,385836	0,18315	-1645,36959852	-0,753022300348
3	-84,636910309	0,372405	0,17094	-1644,51642302	-0,753412968491
3,5	-84,376098221	0,350427	0,174603	-1643,79662802	-0,753742877237
4	-83,788736572	0,338217	0,150183	-1642,05091066	-0,754544205638
4,5	-83,527924484	0,313797	0,163614	-1641,22040587	-0,754926026737
5	-83,005765857	0,304029	0,136752	-1639,45551524	-0,755738712324
5,5	-82,744953769	0,279609	0,151404	-1638,52297242	-0,756168830621
6	-82,48360723	0,261294	0,117216	-1637,5544625	-0,756616056671
6,5	-81,961448603	0,246642	0,141636	-1635,51740553	-0,757558431239
7	-81,635433493	0,223443	0,0976801	-1634,17665585	-0,758179965162
7,5	-81,178477888	0,222222	0,128205	-1632,20836678	-0,759094258565
8	-80,9176658	0,19536	0,0952381	-1631,03839913	-0,759638767953
8,5	-80,395507173	0,194139	0,111111	-1628,59452826	-0,760778682784
9	-80,068957612	0,185592	0,0989011	-1626,99741242	-0,761525488942
9,5	-79,873348546	0,173382	0,0891331	-1626,01539732	-0,761985404347
10	-79,285986897	0,144078	0,0842491	-1622,95282214	-0,763423300479
10,5	-79,090377831	0,157509	0,0854701	-1621,89501793	-0,763921207171
11	-78,43781316	0,147741	0,0842491	-1618,22945744	-0,765651616526
11,5	-78,242204094	0,133089	0,0671551	-1617,08977601	-0,766191227218
12	-77,980857555	0,1221	0,0830281	-1615,53767556	-0,766927332457
12,5	-77,458698928	0,115995	0,0549451	-1612,33601497	-0,768450241451
13	-77,132683818	0,114774	0,0854701	-1610,26910319	-0,769436610033
13,5	-76,675728213	0,107448	0,0573871	-1607,28430486	-0,770865487989
14	-76,349713103	0,0989011	0,0598291	-1605,09230002	-0,771918225505
14,5	-75,827554476	0,101343	0,0671551	-1601,47325843	-0,773662621888
15	-75,566742388	0,0879121	0,0622711	-1599,61576076	-0,774561010459
15,5	-75,044583761	0,0781441	0,0512821	-1595,79739191	-0,776414353279
16	-74,783237222	0,101343	0,0610501	-1593,83646418	-0,777369590822
16,5	-74,522425134	0,0708181	0,0525031	-1591,84648689	-0,778341385433
17	-73,935063485	0,100122	0,0610501	-1587,24423856	-0,780598202785
17,5	-73,674251397	0,0732601	0,047619	-1585,14714842	-0,78163090489
18	-73,15209277	0,102564	0,0549451	-1580,85000957	-0,783755569789
18,5	-72,956483704	0,0891331	0,0573871	-1579,20640702	-0,784571284977
19	-72,629934143	0,0830281	0,037851	-1576,42157599	-0,785957271122
19,5	-72,107775516	0,102564	0,0659341	-1571,86221546	-0,788237027273
20	-71,781760406	0,0854701	0,040293	-1568,94930721	-0,789700466616
20,5	-71,324804801	0,100122	0,0561661	-1564,78098474	-0,791804100436
21	-70,998789691	0,102564	0,0500611	-1561,74624232	-0,793342712425
21,5	-70,541834086	0,0976801	0,046398	-1557,40754569	-0,79555284256
22	-70,215284525	0,120879	0,0573871	-1554,24632069	-0,797170939707
22,5	-70,019675459	0,108669	0,0525031	-1552,32850455	-0,798155800378
23	-69,43231381	0,113553	0,0500611	-1546,46117452	-0,801184032559
