Vernier Format 2
lampe_vor_neueinstellung.cmbl 21.10.2014 11:58:38 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	83,789977831	0,00610501	0,034188	1642,05478187	0,754542426771
0,5	83,2679260942	0,00610501	0,02442	1640,35864347	0,755322627115
1	83,0069002258	0,00610501	0,019536	1639,45949703	0,755736876845
1,5	82,4847950439	0,00610501	0,015873	1637,55894144	0,756613987224
2	82,2237691755	0,00610501	0,00732601	1636,5577663	0,757076850886
2,5	81,7017174387	0,00610501	0,014652	1634,4535376	0,758051527006
3	81,4406915703	0,00610501	0,00732601	1633,35052773	0,758563443035
3,5	80,9186398335	0,00610501	0,00610501	1631,0428314	0,759636703675
4	80,6576139651	0,00610501	0,013431	1629,83819284	0,760198162887
4,5	80,0703057612	0,00732601	0,00732601	1627,00411474	0,761522351896
5	79,8092798928	0,00610501	0,010989	1625,68963295	0,762138095052
5,5	79,287228156	0,00610501	0,017094	1622,95947417	0,763420171434
6	79,0262022876	0,00610501	0,00732601	1621,54385384	0,764086643147
6,5	78,5041505508	0,00732601	0,017094	1618,61167823	0,765470814687
7	78,2431246824	0,015873	0,020757	1617,0951838	0,766188664965
7,5	77,7210729456	0,00610501	0,00732601	1613,96153907	0,767676285964
8	77,1990212088	0,00610501	0,029304	1610,69390445	0,769233680328
8,5	76,9379953404	0,00610501	0,025641	1609,00992527	0,770038755223
9	76,3506871365	0,00610501	0,019536	1605,09892649	0,771915038725
9,5	76,0896612681	0,00610501	0,028083	1603,30654536	0,772777984091
10	75,5676095313	0,00610501	0,018315	1599,62199147	0,774557993454
10,5	75,3065836629	0,00732601	0,013431	1597,7298952	0,775475256314
11	74,7845319261	0,00732601	0,021978	1593,84626034	0,777364812926
11,5	74,5235060577	0,00732601	0,019536	1591,85480235	0,778337319565
12	74,0014543209	0,00610501	0,00732601	1587,77281194	0,780338339767
12,5	73,7404284525	0,014652	0,017094	1585,68236424	0,781367080787
13	73,1531202486	0,00610501	0,01221	1580,85859431	0,783751313658
13,5	72,8920943802	0,00610501	0,00732601	1578,66134896	0,78484217075
14	72,3700426434	0,00610501	0,00976801	1574,16860958	0,787082141305
14,5	71,9785038408	0,00610501	0,00854701	1570,71327134	0,78881360628
15	71,5869650382	0,00610501	0,00610501	1567,1845832	0,790589706713
15,5	71,0649133014	0,00610501	0,00976801	1562,36585113	0,793028085646
16	70,803887433	0,00610501	0,00976801	1559,90781975	0,794277703023
16,5	70,2818356962	0,00488401	0,00610501	1554,89468139	0,796838535
17	70,0208098278	0,00610501	0,00854701	1552,33967846	0,798150055166
17,5	69,4335016239	0,00610501	0,010989	1546,47320416	0,801177800347
18	68,9767063542	0,00610501	0,00610501	1541,79802017	0,803607206516
18,5	68,6504240187	0,00610501	0,00854701	1538,39858587	0,805382955612
19	68,1283722819	0,00610501	0,014652	1532,85576721	0,808295226796
19,5	67,8673464135	0,00610501	0,00854701	1530,0366075	0,809784546284
20	67,3452946767	0,00610501	0,017094	1524,30307988	0,812830477318
20,5	67,0842688083	0,00610501	0,031746	1521,38883098	0,814387469378
21	66,5622170715	0,00610501	0,020757	1515,46566539	0,817570485623
21,5	66,3011912031	0,00610501	0,020757	1512,45687165	0,819196912802
22	65,7791394663	0,00976801	0,034188	1506,34517449	0,822520642004
22,5	65,4528571308	0,00610501	0,02442	1502,4618263	0,824646575581
23	64,930805394	0,00732601	0,01221	1496,14717598	0,828127085283
23,5	64,4087536572	0,00976801	0,023199	1489,70831664	0,831706439549
24	64,1477277888	0,00610501	0,00976801	1486,44247523	0,833533769819
