Vernier Format 2
lampe_vor_neueinstellung.cmbl 21.10.2014 11:38:30 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	-88,878847896	0,00610501	0,00854701	-1651,43092328	-0,750258447102
0,5	-88,421892291	0,00976801	0,00732601	-1651,12064907	-0,750399433681
1	-88,095877181	0,00732601	0,00854701	-1650,83508989	-0,75052923674
1,5	-87,899733664	0,020757	0,00854701	-1650,63753402	-0,75061906352
2	-87,312906466	0,00732601	0,00854701	-1649,93097838	-0,750940503717
2,5	-87,116762949	0,00610501	0,00854701	-1649,65621935	-0,751065576856
3	-86,790747839	0,00610501	0,00854701	-1649,15676524	-0,751293040246
3,5	-86,268589212	0,00732601	0,00732601	-1648,24558427	-0,751708369082
4	-85,942039651	0,00488401	0,00854701	-1647,60616649	-0,752000098812
4,5	-85,485618497	0,00854701	0,00854701	-1646,62277316	-0,752449207068
5	-85,224271958	0,00610501	0,00732601	-1646,01263291	-0,752728123239
5,5	-84,636910309	0,00610501	0,00854701	-1644,51642302	-0,753412968491
6	-84,376098221	0,00732601	0,00854701	-1643,79662802	-0,753742877237
6,5	-83,919142616	0,00610501	0,00854701	-1642,45340479	-0,754359299562
7	-83,593127506	0,00732601	0,00854701	-1641,43122096	-0,754829068788
7,5	-83,070968879	0,00732601	0,00854701	-1639,68334371	-0,755633704981
8	-82,744953769	0,00610501	0,00854701	-1638,52297242	-0,756168830621
8,5	-82,548810252	0,00610501	0,00854701	-1637,79928541	-0,756502955542
9	-81,961448603	0,00610501	0,00854701	-1635,51740553	-0,757558431239
9,5	-81,765839537	0,00610501	0,00854701	-1634,71930725	-0,757928284388
10	-81,178477888	0,00610501	0,00854701	-1632,20836678	-0,759094258565
10,5	-80,9176658	0,00610501	0,00854701	-1631,03839913	-0,759638767953
11	-80,395507173	0,00610501	0,00854701	-1628,59452826	-0,760778682784
11,5	-80,134695085	0,00610501	0,00854701	-1627,32317708	-0,761373043442
12	-79,873348546	0,00488401	0,00854701	-1626,01539732	-0,761985404347
12,5	-79,351189919	0,00732601	0,00854701	-1623,30122051	-0,763259452003
13	-79,025174809	0,00732601	0,00854701	-1621,53821501	-0,76408930023
13,5	-78,568219204	0,00610501	0,00854701	-1618,97876736	-0,765297250947
14	-78,242204094	0,00610501	0,00854701	-1617,08977601	-0,766191227218
14,5	-77,720045467	0,00732601	0,00854701	-1613,95523937	-0,767679282411
15	-77,458698928	0,00488401	0,00732601	-1612,33601497	-0,768450241451
15,5	-76,937074752	0,00610501	0,00854701	-1609,00392708	-0,770041625843
16	-76,675728213	0,00610501	0,00854701	-1607,28430486	-0,770865487989
16,5	-76,153569586	0,00610501	0,00854701	-1603,74846103	-0,772565043775
17	-75,827554476	0,00732601	0,00854701	-1601,47325843	-0,773662621888
17,5	-75,305395849	0,00732601	0,00854701	-1597,72120928	-0,775479472141
18	-75,044583761	0,00610501	0,00854701	-1595,79739191	-0,776414353279
18,5	-74,587628156	0,00732601	0,00854701	-1592,34707514	-0,778096697226
19	-74,261613046	0,00732601	0,00854701	-1589,82352504	-0,779331781476
19,5	-74,000266507	0,00610501	0,00732601	-1587,76337384	-0,780342978313
20	-73,412904858	0,00732601	0,00732601	-1583,01281422	-0,78268475711
20,5	-73,217295792	0,00610501	0,00854701	-1581,39378343	-0,783486069681
21	-72,629934143	0,00610501	0,00854701	-1576,42157599	-0,785957271122
21,5	-72,434325077	0,00610501	0,00732601	-1574,72888242	-0,786802105321
22	-71,846963428	0,00610501	0,00854701	-1569,53595566	-0,789405298764
