Vernier Format 2
lampe_vor_neueinstellung.cmbl 21.10.2014 11:01:27 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	-78,568219204	0,00610501	0,017094	-1618,97876736	-0,765297250947
0,5	-78,307407116	0,00610501	0,017094	-1617,47176471	-0,766010280387
1	-77,720045467	0,00732601	0,021978	-1613,95523937	-0,767679282411
1,5	-77,524436401	0,00610501	0,023199	-1612,74646365	-0,76825466862
2	-77,19788684	0,00732601	0,019536	-1610,68665849	-0,769237140859
2,5	-76,740931235	0,00732601	0,020757	-1607,71646349	-0,770658277213
3	-76,414916125	0,00732601	0,023199	-1605,53486065	-0,771705448673
3,5	-75,95796052	0,00732601	0,020757	-1602,38956563	-0,773220212222
4	-75,63194541	0,00732601	0,015873	-1600,08324409	-0,774334713259
4,5	-75,109786783	0,00732601	0,013431	-1596,28144779	-0,776178913632
5	-74,783237222	0,00610501	0,014652	-1593,83646418	-0,777369590822
5,5	-74,326816068	0,00732601	0,019536	-1590,33235552	-0,779082432485
6	-74,000266507	0,00610501	0,019536	-1587,76337384	-0,780342978313
6,5	-73,543310902	0,00732601	0,017094	-1584,08191875	-0,782156519389
7	-73,217295792	0,00732601	0,017094	-1581,39378343	-0,783486069681
7,5	-72,695137165	0,00732601	0,018315	-1576,98172502	-0,785678096544
8	-72,434325077	0,00732601	0,02442	-1574,72888242	-0,786802105321
8,5	-71,91216645	0,00732601	0,02442	-1570,12057147	-0,789111373047
9	-71,585616889	0,00732601	0,021978	-1567,17230667	-0,790595899841
9,5	-71,129195735	0,00732601	0,018315	-1562,96621248	-0,792723470353
10	-70,802646174	0,00854701	0,015873	-1559,89605366	-0,794283694154
10,5	-70,541834086	0,00976801	0,020757	-1557,40754569	-0,79555284256
11	-70,019675459	0,010989	0,021978	-1552,32850455	-0,798155800378
11,5	-69,824066393	0,00976801	0,020757	-1550,39259519	-0,799152423613
12	-69,236704744	0,017094	0,018315	-1544,47107251	-0,80221638466
12,5	-69,041095678	0,019536	0,018315	-1542,46296886	-0,803260775148
13	-68,453734029	0,023199	0,025641	-1536,32522483	-0,806469867169
13,5	-68,19238749	0,026862	0,028083	-1533,54229551	-0,807933373359
14	-67,605025841	0,030525	0,025641	-1527,17147224	-0,811303787769
14,5	-67,409416775	0,039072	0,021978	-1525,01413922	-0,812451483652
15	-66,822055126	0,043956	0,025641	-1518,42952853	-0,815974647961
15,5	-66,62644606	0,042735	0,028083	-1516,2012007	-0,817173868103
16	-65,973881389	0,047619	0,028083	-1508,63968349	-0,821269660051
16,5	-65,778272323	0,0537241	0,023199	-1506,3349186	-0,822526242138
17	-65,256113696	0,0586081	0,023199	-1500,09666871	-0,825946771193
17,5	-64,994767157	0,0622711	0,026862	-1496,92753417	-0,827695377175
18	-64,473142981	0,0683761	0,028083	-1490,50917608	-0,831259558733
18,5	-64,211796442	0,0720391	0,02442	-1487,24693366	-0,833082907727
19	-63,689637815	0,0805861	0,025641	-1480,63651571	-0,836802271762
19,5	-63,428825727	0,0793651	0,032967	-1477,28860359	-0,838698678774
20	-62,841464078	0,0854701	0,034188	-1469,63695458	-0,843065354435
20,5	-62,645855012	0,0927961	0,029304	-1467,0544036	-0,844549457036
21	-62,254102429	0,0976801	0,028083	-1461,83086116	-0,84756727534
21,5	-61,797146824	0,105006	0,029304	-1455,65158526	-0,851165218755
22	-61,405928692	0,108669	0,029304	-1450,28767558	-0,854313265471
22,5	-61,014176109	0,112332	0,026862	-1444,84868433	-0,857529244022
23	-60,753364021	0,119658	0,020757	-1441,19016724	-0,85970611524
