Vernier Format 2
lampe_vor_neueinstellung.cmbl 21.10.2014 11:11:31 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	80,6576139651	0,00610501	0,00854701	1629,83819284	0,760198162887
0,5	80,3313316296	0,00610501	0,00854701	1628,28482819	0,760923383029
1	79,8092798928	0,00610501	0,00732601	1625,68963295	0,762138095052
1,5	79,5482540244	0,00610501	0,00732601	1624,3414101	0,762770678811
2	79,0262022876	0,00610501	0,00976801	1621,54385384	0,764086643147
2,5	78,7651764192	0,00610501	0,014652	1620,09457851	0,76477016616
3	78,2431246824	0,00610501	0,00976801	1617,0951838	0,766188664965
3,5	77,982098814	0,00610501	0,00854701	1615,54512669	0,766923795275
4	77,4600470772	0,00610501	0,00976801	1612,3444538	0,768446219467
4,5	77,1337647417	0,00610501	0,010989	1610,27604235	0,769433294303
5	76,6117130049	0,00610501	0,00732601	1606,85799393	0,771070004122
5,5	76,2854306694	0,00610501	0,00610501	1604,65395293	0,77212909222
6	75,8286353997	0,00610501	0,00732601	1601,48088772	0,773658936239
6,5	75,3065836629	0,00610501	0,00976801	1597,7298952	0,775475256314
7	75,0455577945	0,00610501	0,00854701	1595,80463817	0,776410827721
7,5	74,5235060577	0,00610501	0,00854701	1591,85480235	0,778337319565
8	74,1319672551	0,00610501	0,00854701	1588,80568069	0,779831048602
8,5	73,6751719854	0,00610501	0,01221	1585,1546083	0,781627226461
9	73,1531202486	0,00610501	0,013431	1580,85859431	0,783751313658
9,5	72,8920943802	0,00610501	0,00854701	1578,66134896	0,78484217075
10	72,3700426434	0,00610501	0,00732601	1574,16860958	0,787082141305
10,5	72,109016775	0,00610501	0,00854701	1571,87320878	0,788231514525
11	71,5869650382	0,00610501	0,00976801	1567,1845832	0,790589706713
11,5	71,3259391698	0,00610501	0,00854701	1564,79145573	0,791798801984
12	70,7386309659	0,00610501	0,00732601	1559,28825119	0,794593301821
12,5	70,4776050975	0,00610501	0,00610501	1556,78975815	0,795868545197
13	69,9555533607	0,00610501	0,00854701	1551,69589147	0,798481201639
13,5	69,6945274923	0,00610501	0,010989	1549,10062354	0,799818927944
14	69,1724757555	0,00610501	0,00854701	1543,81368784	0,802557983364
14,5	68,9114498871	0,00610501	0,00732601	1541,12212979	0,803959644762
15	68,3893981503	0,00610501	0,00854701	1535,64311262	0,806828090343
15,5	67,8020899464	0,00610501	0,010989	1529,32685343	0,810160363838
16	67,6063205451	0,00610501	0,01221	1527,185692	0,811296233648
16,5	67,0190123412	0,00610501	0,00854701	1520,65533258	0,814780294691
17	66,8232429399	0,00610501	0,00732601	1518,44300577	0,815967405621
17,5	66,235934736	0,00610501	0,00976801	1511,69976593	0,819607191803
18	66,0401653347	0,00610501	0,00854701	1509,41668698	0,820846894491
18,5	65,5181135979	0,00610501	0,00732601	1503,24239792	0,824218370712
19	65,1918312624	0,00610501	0,00732601	1499,32006028	0,826374589941
19,5	64,6045230585	0,00610501	0,00732601	1492,13741093	0,830352480223
20	64,1477277888	0,00610501	0,010989	1486,44247523	0,833533769819
20,5	63,8867019204	0,00610501	0,010989	1483,14578283	0,83538652393
21	63,3646501836	0,00610501	0,00854701	1476,46011936	0,839169296719
21,5	63,1036243152	0,00610501	0,00854701	1473,07128706	0,841099823805
22	62,5815725784	0,00610501	0,00976801	1466,20197299	0,845040467017
22,5	62,2552902429	0,00610501	0,01221	1461,84680262	0,847558032605
23	61,7332385061	0,00610501	0,00976801	1454,77998278	0,85167517746
23,5	61,4722126377	0,00610501	0,00732601	1451,20124527	0,853775452604
