Vernier Format 2
lampe_vor_neueinstellung.cmbl 21.10.2014 11:14:24 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	-86,5294013	0,0695971	0,0525031	-1648,71782494	-0,751493057975
0,5	-86,398995256	0,0610501	0,0598291	-1648,48597438	-0,751598751372
1	-86,007777124	0,0610501	0,0525031	-1647,73919041	-0,751939388957
1,5	-85,746430585	0,0549451	0,0549451	-1647,19751115	-0,752186663478
2	-85,485618497	0,047619	0,046398	-1646,62277316	-0,752449207068
2,5	-85,224271958	0,04884	0,041514	-1646,01263291	-0,752728123239
3	-84,636910309	0,039072	0,045177	-1644,51642302	-0,753412968491
3,5	-84,441301243	0,03663	0,039072	-1643,97977059	-0,753658908806
4	-84,115286133	0,032967	0,045177	-1643,04277202	-0,754088707305
4,5	-83,593127506	0,023199	0,041514	-1641,43122096	-0,754829068788
5	-83,331780967	0,02442	0,039072	-1640,57341977	-0,755223743765
5,5	-83,070968879	0,017094	0,03663	-1639,68334371	-0,755633704981
6	-82,48360723	0,015873	0,030525	-1637,5544625	-0,756616056671
6,5	-82,287998164	0,00732601	0,032967	-1636,80727064	-0,756961446972
7	-81,961448603	0,010989	0,029304	-1635,51740553	-0,757558431239
7,5	-81,439824427	0,00732601	0,03663	-1633,34680696	-0,758565171047
8	-81,178477888	0,00732601	0,029304	-1632,20836678	-0,759094258565
8,5	-80,9176658	0,00732601	0,029304	-1631,03839913	-0,759638767953
9	-80,395507173	0,00732601	0,025641	-1628,59452826	-0,760778682784
9,5	-80,199898107	0,00732601	0,020757	-1627,64417714	-0,761222887289
10	-79,547333436	0,00732601	0,025641	-1624,3365955	-0,762772939695
10,5	-79,351189919	0,00732601	0,019536	-1623,30122051	-0,763259452003
11	-79,090377831	0,00732601	0,026862	-1621,89501793	-0,763921207171
11,5	-78,568219204	0,00732601	0,02442	-1618,97876736	-0,765297250947
12	-78,242204094	0,00732601	0,023199	-1617,08977601	-0,766191227218
12,5	-77,720045467	0,00610501	0,02442	-1613,95523937	-0,767679282411
13	-77,458698928	0,00732601	0,014652	-1612,33601497	-0,768450241451
13,5	-77,263089862	0,00732601	0,019536	-1611,10212786	-0,769038770774
14	-76,610525191	0,00610501	0,020757	-1606,85006469	-0,771073809078
14,5	-76,414916125	0,00610501	0,018315	-1605,53486065	-0,771705448673
15	-76,088366564	0,00610501	0,02442	-1603,29757207	-0,772782309151
15,5	-75,63194541	0,00610501	0,021978	-1600,08324409	-0,774334713259
16	-75,305395849	0,00732601	0,019536	-1597,72120928	-0,775479472141
16,5	-75,109786783	0,00732601	0,021978	-1596,28144779	-0,776178913632
17	-74,522425134	0,00732601	0,014652	-1591,84648689	-0,778341385433
17,5	-74,261613046	0,00732601	0,019536	-1589,82352504	-0,779331781476
18	-73,739454419	0,00610501	0,018315	-1585,67450195	-0,781370955059
18,5	-73,47810788	0,00732601	0,017094	-1583,54839188	-0,782420042451
19	-73,15209277	0,00732601	0,026862	-1580,85000957	-0,783755569789
19,5	-72,695137165	0,00732601	0,019536	-1576,98172502	-0,785678096544
20	-72,369122055	0,00854701	0,021978	-1574,16057152	-0,787086160343
20,5	-71,91216645	0,00732601	0,020757	-1570,12057147	-0,789111373047
21	-71,585616889	0,00854701	0,015873	-1567,17230667	-0,790595899841
21,5	-71,390007823	0,00854701	0,020757	-1565,38185689	-0,791500166266
22	-70,802646174	0,010989	0,019536	-1559,89605366	-0,794283694154
22,5	-70,541834086	0,013431	0,018315	-1557,40754569	-0,79555284256
23	-70,019675459	0,019536	0,028083	-1552,32850455	-0,798155800378
