Vernier Format 2
lampe_vor_neueinstellung.cmbl 21.10.2014 10:38:20 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	-84,441301243	0,261294	0,023199	-1643,97977059	-0,753658908806
0,5	-84,245692177	0,2442	0,018315	-1643,42395669	-0,753913799879
1	-83,658330528	0,230769	0,014652	-1641,63991031	-0,754733113041
1,5	-83,39751844	0,216117	0,02442	-1640,79239951	-0,755122951796
2	-82,810156791	0,205128	0,010989	-1638,75929187	-0,756059786297
2,5	-82,614013274	0,191697	0,026862	-1638,04198728	-0,756390867647
3	-82,092389098	0,177045	0,01221	-1636,04100092	-0,75731598371
3,5	-81,831042559	0,169719	0,017094	-1634,98745753	-0,757803978428
4	-81,505027449	0,15873	0,013431	-1633,62553902	-0,758435743324
4,5	-81,048071844	0,147741	0,017094	-1631,62760907	-0,759364448797
5	-80,721522283	0,136752	0,029304	-1630,13625889	-0,760059162689
5,5	-80,199898107	0,126984	0,00854701	-1627,64417714	-0,761222887289
6	-79,938551568	0,117216	0,026862	-1626,34484204	-0,761831050815
6,5	-79,742942502	0,106227	0,00976801	-1625,35019093	-0,762297261791
7	-79,090377831	0,101343	0,026862	-1621,89501793	-0,763921207171
7,5	-78,894768765	0,0940171	0,00976801	-1620,81830966	-0,7644286794
8	-78,307407116	0,0879121	0,025641	-1617,47176471	-0,766010280387
8,5	-78,111263599	0,0818071	0,019536	-1616,31634238	-0,766557862166
9	-77,524436401	0,0781441	0,019536	-1612,74646365	-0,76825466862
9,5	-77,328292884	0,0732601	0,020757	-1611,51551075	-0,768841498413
10	-77,002277774	0,0708181	0,01221	-1609,42773694	-0,76983885114
10,5	-76,480119147	0,0695971	0,021978	-1605,97534202	-0,771493787967
11	-76,219307059	0,0659341	0,013431	-1604,20094324	-0,772347133455
11,5	-75,762351454	0,0622711	0,02442	-1601,01199352	-0,773885520542
12	-75,370598871	0,0634921	0,015873	-1598,19699231	-0,775248612007
12,5	-75,174989805	0,0647131	0,010989	-1596,7634364	-0,775944621322
13	-74,587628156	0,0671551	0,032967	-1592,34707514	-0,778096697226
13,5	-74,326816068	0,0634921	0,01221	-1590,33235552	-0,779082432485
14	-73,804657441	0,0683761	0,025641	-1586,19980194	-0,781112189327
14,5	-73,543310902	0,0683761	0,01221	-1584,08191875	-0,782156519389
15	-72,956483704	0,0720391	0,020757	-1579,20640702	-0,784571284977
15,5	-72,695137165	0,0781441	0,00976801	-1576,98172502	-0,785678096544
16	-72,172978538	0,0805861	0,018315	-1572,43869315	-0,787948048721
16,5	-71,977369472	0,0903541	0,020757	-1570,70315387	-0,788818687315
17	-71,390007823	0,0952381	0,00732601	-1565,38185689	-0,791500166266
17,5	-71,129195735	0,102564	0,029304	-1562,96621248	-0,792723470353
18	-70,867849196	0,111111	0,00854701	-1560,51313226	-0,793969608063
18,5	-70,34622502	0,123321	0,021978	-1555,51998406	-0,796518214292
19	-70,084878481	0,131868	0,017094	-1552,96978806	-0,797826209835
19,5	-69,562719854	0,140415	0,020757	-1547,77789682	-0,800502450993
20	-69,236704744	0,153846	0,023199	-1544,47107251	-0,80221638466
20,5	-69,041095678	0,167277	0,00732601	-1542,46296886	-0,803260775148
21	-68,453734029	0,180708	0,029304	-1536,32522483	-0,806469867169
21,5	-68,257590512	0,191697	0,010989	-1534,23959452	-0,807566174424
22	-67,670228863	0,208791	0,013431	-1527,88662892	-0,810924041447
22,5	-67,474619797	0,224664	0,014652	-1525,73522646	-0,812067505892
23	-67,083401665	0,233211	0,014652	-1521,37909701	-0,814392679925
