Vernier Format 2
Bandlücke-Si_try.txt 20.10.2014 18:23:37 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	-83,527924484	0,328449	0,00854701	-1641,22040587	-0,754926026737
0,5	-83,266577945	0,316239	0,00732601	-1640,354087	-0,755324725202
1	-83,005765857	0,302808	0,015873	-1639,45551524	-0,755738712324
1,5	-82,48360723	0,289377	0,020757	-1637,5544625	-0,756616056671
2	-82,15759212	0,271062	0,013431	-1636,29854338	-0,757196787234
2,5	-81,961448603	0,255189	0,00732601	-1635,51740553	-0,757558431239
3	-81,374086954	0,242979	0,00732601	-1633,06364885	-0,758696699221
3,5	-81,178477888	0,23199	0,018315	-1632,20836678	-0,759094258565
4	-80,591116239	0,216117	0,014652	-1629,52589724	-0,760343853447
4,5	-80,330304151	0,197802	0,018315	-1628,27985314	-0,760925707956
5	-80,068957612	0,18315	0,01221	-1626,99741242	-0,761525488942
5,5	-79,612536458	0,174603	0,00610501	-1624,67656484	-0,762613326746
6	-79,220783875	0,166056	0,00732601	-1622,60232195	-0,763588208421
6,5	-79,025174809	0,157509	0,00732601	-1621,53821501	-0,76408930023
7	-78,43781316	0,148962	0,00732601	-1618,22945744	-0,765651616526
7,5	-78,242204094	0,141636	0,017094	-1617,08977601	-0,766191227218
8	-77,654842445	0,130647	0,01221	-1613,5544036	-0,76786998767
8,5	-77,458698928	0,118437	0,015873	-1612,33601497	-0,768450241451
9	-76,87187173	0,111111	0,00732601	-1608,57803347	-0,770245505174
9,5	-76,675728213	0,105006	0,00732601	-1607,28430486	-0,770865487989
10	-76,349713103	0,103785	0,02442	-1605,09230002	-0,771918225505
10,5	-75,827554476	0,0964591	0,010989	-1601,47325843	-0,773662621888
11	-75,566742388	0,0866911	0,01221	-1599,61576076	-0,774561010459
11,5	-75,044583761	0,0842491	0,00732601	-1595,79739191	-0,776414353279
12	-74,7180342	0,0805861	0,00732601	-1593,34206443	-0,777610801636
12,5	-74,195875573	0,0769231	0,015873	-1589,30843951	-0,779584358326
13	-73,935063485	0,0793651	0,01221	-1587,24423856	-0,780598202785
13,5	-73,674251397	0,0695971	0,015873	-1585,14714842	-0,78163090489
14	-73,086889748	0,0708181	0,019536	-1580,30418841	-0,784026271075
14,5	-72,890746231	0,0683761	0,00732601	-1578,64991552	-0,784847855006
15	-72,303919033	0,0671551	0,00732601	-1573,59022198	-0,787371440603
15,5	-72,107775516	0,0708181	0,00610501	-1571,86221546	-0,788237027273
16	-71,781760406	0,0732601	0,00732601	-1568,94930721	-0,789700466616
16,5	-71,259601779	0,0781441	0,021978	-1564,1780861	-0,792109294341
17	-70,998789691	0,0744811	0,015873	-1561,74624232	-0,793342712425
17,5	-70,541834086	0,0744811	0,015873	-1557,40754569	-0,79555284256
18	-70,215284525	0,0793651	0,015873	-1554,24632069	-0,797170939707
18,5	-69,758863371	0,0830281	0,00610501	-1549,74327525	-0,79948725688
19	-69,43231381	0,0866911	0,00854701	-1546,46117452	-0,801184032559
19,5	-69,171501722	0,0964591	0,00732601	-1543,80370365	-0,802563173716
20	-68,584140073	0,102564	0,00610501	-1537,70189346	-0,805747853515
20,5	-68,322793534	0,108669	0,015873	-1534,93490661	-0,807200354014
21	-67,801169358	0,118437	0,010989	-1529,31682657	-0,810165675598
21,5	-67,605025841	0,126984	0,021978	-1527,17147224	-0,811303787769
22	-67,279010731	0,130647	0,01221	-1523,56604073	-0,813223691577
22,5	-66,756852104	0,142857	0,00732601	-1517,68871777	-0,816372939651
23	-66,496040016	0,156288	0,00854701	-1514,70582935	-0,817980611148
