Vernier Format 2
Bandlücke-Si_try.txt 20.10.2014 18:03:03 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

0	4,111884947	0,189255	0,203907	118,437444048	10,4612186624
0,5	4,633509123	0,141636	0,179487	133,431224725	9,28568258708
1	4,894855662	0,153846	0,17094	140,939396687	8,79101251407
1,5	5,15566775	0,142857	0,175824	148,429291231	8,34740898997
2	5,743029399	0,123321	0,140415	165,285402539	7,49612476944
2,5	5,939172916	0,124542	0,163614	170,910550219	7,24940618594
3	6,526000114	0,105006	0,137973	187,72778939	6,59998183553
3,5	6,722143631	0,0915751	0,125763	193,344548209	6,40824896011
4	7,30950528	0,0989011	0,139194	210,150402	5,89577744419
4,5	7,570317368	0,0781441	0,123321	217,605898285	5,69377948744
5	8,092475995	0,0781441	0,115995	232,518463435	5,32860909924
5,5	8,353288083	0,0879121	0,113553	239,959959616	5,16336142906
6	8,87544671	0,0622711	0,120879	254,843104206	4,86181489533
6,5	9,201996271	0,0537241	0,0927961	264,140103249	4,69069249524
7	9,723620447	0,0634921	0,10989	278,973032212	4,44128950449
7,5	9,984966986	0,0622711	0,112332	286,396076651	4,32617658206
8	10,507125613	0,047619	0,0964591	301,208985963	4,11342309738
8,5	10,767937701	0,03663	0,0891331	308,598568245	4,01492465453
9	11,028749789	0,047619	0,0915751	315,981756076	3,92111245721
9,5	11,550908416	0,04884	0,108669	330,743431923	3,7461061367
10	11,812254955	0,029304	0,0744811	338,121585948	3,66436232258
10,5	12,399082153	0,018315	0,0744811	354,662619425	3,4934609179
11	12,660428692	0,043956	0,0830281	362,017383696	3,42248758154
11,5	13,182587319	0,034188	0,0903541	376,689161676	3,28918409674
12	13,508602429	0,017094	0,0744811	385,833849907	3,21122680216
12,5	13,965558034	0,019536	0,0622711	398,630312724	3,10814295966
13	14,291573144	0,034188	0,0927961	407,744502308	3,03866757979
13,5	14,748528749	0,019536	0,0708181	420,497023264	2,94651312959
14	15,07507831	0,00610501	0,0671551	429,593889377	2,88411923595
14,5	15,531499464	0,03663	0,0805861	442,28520989	2,8013597839
15	15,858049025	0,017094	0,0683761	451,348123241	2,74510945366
15,5	16,249267157	0,01221	0,0671551	462,186490616	2,68073607766
16	16,64101974	0,00976801	0,0695971	473,018072034	2,61935023893
16,5	16,901831828	0,015873	0,0854701	480,217044444	2,58008334842
17	17,489193477	0,00610501	0,0573871	496,392818937	2,49600709908
17,5	17,685336994	0,00854701	0,0647131	501,783021267	2,46919474651
18	18,272164192	0,018315	0,0757021	517,874201279	2,39247291512
18,5	18,468307709	0,00732601	0,0659341	523,240552942	2,36793572867
19	19,055669358	0,00854701	0,0573871	539,273438531	2,29753574249
19,5	19,316481446	0,00976801	0,0561661	546,374612045	2,26767491147
20	19,838640073	0,013431	0,0830281	560,55734099	2,21030019482
20,5	20,099452161	0,00732601	0,0622711	567,624085881	2,18278263875
21	20,621610788	0,00732601	0,0549451	581,736564571	2,12983002179
21,5	20,882422876	0,01221	0,0659341	588,76756119	2,10439582897
22	21,404581503	0,00610501	0,0671551	602,807154251	2,05538370151
22,5	21,731131064	0,00732601	0,0586081	611,561917232	2,0259600297
23	21,991943152	0,00854701	0,0598291	618,540009313	2,00310405365
23,5	22,514101779	0,00854701	0,0659341	632,471832101	1,95898052232
24	22,840116889	0,00610501	0,040293	641,143745247	1,93248395416
24,5	23,297072494	0,00976801	0,0830281	653,263638729	1,89663089532
25	23,623622055	0,00732601	0,043956	661,899343727	1,87188582636
25,5	24,080043209	0,00732601	0,0695971	673,933454438	1,83846044716
